품명,색상,사이즈,단가,수량,금액,미송여부
24F)1+1페이크플라,검정set,FREE,6000,3,18000,Y
24F)1+1페이크클라,그레이set,FREE,6000,6,36000,Y
24F)1+1페이크폴라,오트밀set,FREE,6000,7,42000,N
24F)1+1페이크폴라,크림set,FREE,6000,7,42000,N
24F)1+1페이크폴라,핑크set,FREE,6000,7,42000,N
24Fg기획)1+1기본충실T,아이,XS,16000,1,16000,Y
24Fg기획)1+1기본충실T,아이,M,16000,2,32000,Y
24Fg기획)1+1기본충실T,아이,L,16000,1,16000,N
24Ff기획)토스트상하세트,핑크,S,15000,1,15000,Y
24Ff기획)토스트상하세트,핑크,M,15000,1,15000,N
24Ff기획)토스트상하세트,핑크,L,15000,1,15000,N
24Fc)리본자수맨투맨,네이비,XS,12000,1,12000,N
24Fc)리본자수맨투맨,네이비,XL,12000,1,12000,N
24Fc)리본자수맨투맨,아이,XS,12000,1,12000,N
24Fg)브이넥니트,그린,JM,25000,1,25000,N
24Fb)생지루즈청자켓,one color,JM,28000,1,28000,N
24Fd)생지와이드팬츠,one color,JM,18000,1,18000,N
24Fd)생지주류스커트,onecolor,JS,19000,1,19000,N
24Fb)어텀실내복,블랙,S,16000,1,16000,N
24Fe)위드러브상하세트,백메란지,M,19000,1,19000,N
24FC)파리하트맨투맨,백메란지,XL,11000,1,11000,N
24Fc)파리하트맨투맨,크림,L,11000,1,11000,N
24Fe)피그먼트세트,그린,M,24000,1,24000,N
24Fc)리본자수맨투맨,오트밀,JS,13000,-1,-13000,N
