품명,색상,사이즈,단가,수량,금액,미송여부
곰돌이 꽃 상하,옐로우,M,15000,1,15000,N
꽃가득 셋트,검,M,18000,1,18000,N
니트고쟁이,베이지,M,8000,1,8000,N
당근 상하복,크림,XL,14000,1,14000,N
루돌프미니슈트,레드,S,18000,1,18000,N
모자곰 상하,베이지,M,16000,1,16000,N
미오팬츠 세트,멜란,S,15000,1,15000,N
베베 미키T,ST,S,8000,1,8000,N
베이직하트상하,블랙,S,16000,1,16000,N
뽀글곰상하,베이지,L,15000,1,15000,N
신호등 3종 슈트,옐로우,S,16000,1,16000,N
신호등 3종슈트,핑크,S,16000,1,16000,N
신호등 3종슈트,그린,S,16000,1,16000,N
아이린 조끼 셋트,블랙,M,18000,2,36000,N
아이린조끼 셋트,블럭,I,18000,1,18000,N
안녕미키 슈트,그린,S,15000,1,15000,N
안녕미키 슈트,오렌지,S,15000,1,15000,N
야채 슈트,오렌지,M,16000,1,16000,N
에브리데이 슈트,옐로우,S,15000,1,15000,N
와플수면 쪼끼,베이지,M,11000,3,33000,N
요일 맨투맨,백염,M,7000,1,7000,N
유스마일세트,크림,S,18000,1,18000,N
쥬시 슈트,옐로우,M,13000,1,13000,N
쫀쫀 슈트,그레이,S,16000,2,32000,N
존존 슈트,그레이,M,16000,1,16000,N
체크고쟁이,보라,XL,9000,2,18000,N
체크고쟁이,소라,M,9000,1,9000,N
체크고쟁이,블럭,M,9000,1,9000,N
체크고쟁이,블럭,XL,9000,2,18000,N
치즈상하복,옐로우,M,16000,1,16000,N
친구들슈트,레드,S,17000,1,17000,N
친구들슈트,옐로우,S,17000,1,17000,N
친구들슈트,크림,S,17000,1,17000,N
코듀조거P,옐로우,M,9000,1,9000,N
코듀조거P,옐로우,L,9000,1,9000,N
파리 벨로아세트,그레이,L,15000,1,15000,N
포인트 미키세트,옐로우,S,17000,6,102000,N
푸딩세트,레드,M,16000,1,16000,N
푸딩세트,레드,L,16000,1,16000,N
풍선 미키 세트,크림,S,15000,1,15000,N
하트 가디건,그레이,S,12000,1,12000,N
하트 가디건,그레이,M,12000,1,12000,N
하트 가디건,블럭,S,12000,1,12000,N
하트폴라티,착콜,XL,8000,1,8000,N
