품명,색상,사이즈,단가,수량,금액,미송여부
둥카기모맨투맨,블루,M,17000,1,17000,N
라인골지팬츠,모카,L,13000,1,13000,N
라인골지팬츠,베이지,L,13000,1,13000,N
라인골지팬츠,베이지,S,13000,1,13000,N
라인일자팬츠,메란지,M,17000,1,17000,N
라인일자팬츠,차콜,M,17000,2,34000,N
레오반집업맨투맨,브라운,M,20000,1,20000,N
로브골지레깅스,베이지,L,10000,1,10000,N
로브골지레깅스,베이지,S,10000,1,10000,N
로브골지레깅스,아이,S,10000,1,10000,N
로브골지레깅스,핑크,L,10000,1,10000,N
로이버튼수트,메란지,S,28000,1,28000,N
로이버튼수트,메란지,XL,28000,1,28000,N
롤링속기모맨투맨,베이지/검정,L,14000,1,14000,N
롤링속기모맨투맨,블루/브라운,S,14000,1,14000,N
롤링속기모맨투맨,블루/브라운,XL,14000,1,14000,N
밍크데님팬츠,청,M,20000,1,20000,N
버튼배색티,먹색,XL,13000,1,13000,N
보들루즈핏폴라티,브라운,L,11000,1,11000,N
보들루즈핏폴라티,브라운,XL,11000,1,11000,N
보들루즈핏폴라티,블루,L,11000,1,11000,N
보들루즈핏폴라티,크림,M,11000,1,11000,N
스노우골지팬츠,메란지,S,13000,1,13000,N
시소맨투맨,블랙,M,13000,1,13000,N
시소맨투맨,오트밀,M,13000,1,13000,N
쓰리라인티,베이지,M,12000,1,12000,N
쓰리라인티,블랙,M,12000,1,12000,N
쓰리라인티,핑크,M,12000,1,12000,N
우디코듀로이팬츠,크림,L,17000,1,17000,N
우디코듀로이팬츠,크림,M,17000,1,17000,N
우디코듀로이팬츠,핑크,M,17000,1,17000,N
캥거루후드티,오트밀,XL,20000,1,20000,N
캥거루후드티,차콜,L,20000,1,20000,N
코니반목티,검정,M,10000,1,10000,N
코니반목티,아이,L,10000,1,10000,N
코코니트,베이지,L,29000,1,29000,N
코코니트,베이지,M,29000,1,29000,N
코코니트,크림,M,29000,1,29000,N
테리베스트,그레이,M,10000,1,10000,N
패치데님팬츠,청,M,22000,1,22000,N
패치데님팬츠,청,L,22000,1,22000,N
포그니가디건,그레이,L,28000,1,28000,N
포그니가디건,그레이,M,28000,1,28000,N
플리스조거팬츠,크림,S,12000,1,12000,N
피치배색티,메란지,M,13000,1,13000,N
피치배색티,오트밀,M,13000,1,13000,N
핑퐁맨투맨,크림,S,15000,1,15000,N
핑퐁맨투맨,인디핑크,M,15000,1,15000,N
