품명,색상,사이즈,단가,수량,금액,미송여부
나나배색캡,레몬,,6000,1,6000,N
노미캡,검정,,6000,1,6000,N
노미캡,민트,,6000,1,6000,N
누빔귀달이캡,베이지,,6000,1,6000,N
누빔목도리,땡땡이,,5000,1,5000,Y
누빙목도리,스트라,,5000,1,5000,Y
누빔목도리,체크,,5000,1,5000,Y
뉴색종이장갑,베이지,,5000,2,10000,N
달마시안팬티,,XL(130),8000,1,8000,N
라벨장갑,핑크,아동,5000,1,5000,N
리본끈 바라,크림,,7000,1,7000,N
방수 벙어리장갑,회색,,5000,1,5000,N
벙어리장갑,연핑,,3000,1,3000,N
베이스볼 팬티,남,XL(130),10000,1,10000,N
빠삐용바라,크림,,6000,1,6000,Y
삼각목도리,베이지,,5000,1,5000,N
삼각목도리,크림,,5000,1,5000,N
삼각목도리,핑크,,5000,1,5000,N
수술목도리,와인,,6000,1,6000,N
씨에프 캡,검정,,8000,1,8000,N
엠비양말,,M,5000,1,5000,N
와우장갑,핑크,,4000,1,4000,N
진주리본양말,,I,7000,1,7000,N
티컵팬티,,XL(130),8000,1,8000,N
포근이목도리,겨자,,5000,1,5000,N
포근이목도리,베이지,,5000,1,5000,N
포근이목도리,레드,,5000,1,5000,N
포근이목도리,오렌지,,5000,1,5000,N
포근이목도리,핑크,,5000,1,5000,N
플라워귀마개,그린,,5000,4,20000,N
플라워귀마개,크림,,5000,8,40000,N
핑큐양말,,M,6000,1,6000,N
핑크앵두양말세트,Free,,5000,1,5000,N
