품명,색상,사이즈,단가,수량,금액,미송여부
미니하트스커트,검정,S,9000,1,9000,Y
미니하트스커트,핑크,M,10000,1,10000,N
미니하트스커트,핑크,S,9000,1,9000,N
밍크리본부츠컷,검정,JM,13000,1,13000,N
밍크리본부츠컷,검정,S,12000,1,12000,N
밍크리본부츠컷,아이보리,JS,13000,1,13000,N
밍크리본부츠컷,아이보리,S,12000,1,12000,N
바닐라폴라,소라,JM,10000,1,10000,N
바닐라폴라,소라,JS,10000,1,10000,Y
바닐라폴라,크림,JS,10000,1,10000,N
바닐라폴라,핑크,JS,10000,1,10000,N
오즐리가디건,아이보리,JS,15000,1,15000,N
오즐리가디건,핑크,JS,15000,1,15000,N
올리카라맨투맨,소라,JS,23000,1,23000,Y
올리카라맨투맨,핑크,JS,23000,1,23000,N
올리카라맨투맨,핑크,M,21000,1,21000,Y
올리카라맨투맨,핑크,XS,21000,1,21000,Y
기모워머레깅스,크림,S,10000,1,10000,N
제니폴라,크림,JS,12000,1,12000,N
제니폴라,크림,M,11000,1,11000,N
제니폴라,핑크,JS,12000,1,12000,N
핀턱기모조거,소라,JS,15000,1,15000,Y
핀틱기모조거,핑크,JS,15000,1,15000,N
헤이리본가디건,핑크,S,17000,1,17000,N
