품명,색상,사이즈,단가,수량,금액,미송여부
전신슈트러브즈와플,옐로우,BS,18000,1,18000,N
전신슈트러브즈와클,옐로우,BM,18000,1,18000,N
슈트메로나,크림,BS,15000,1,15000,Y
슈트메로나,크림,BM,15000,1,15000,Y
bebeming크멜뱅레깅스,브라운,BS,10000,1,10000,N
cebe베이글1+1티셔츠,3.브라운set,BS,14000,1,14000,N
bebechon캉스우주복,옐로우플라워,BS,28000,2,56000,N
bebechon캉스우주복,엘로우클라워,BM,28000,1,28000,Y
bebechon캉스우주복,핑크플라워,BM,28000,1,28000,Y
츄잉오띠1+1 T,2.블랙set,M,14000,1,14000,N
슈트피치러브3종,크림,BM,21000,1,21000,N
슈트피치러브3종,핑크,BS,21000,1,21000,N
베이글1+1티셔츠,1.아이set,S,14000,1,14000,Y
베이글1+1티셔츠,1.아이set,L,14000,3,42000,Y
베이글1+1티셔츠,2.핑크set,M,14000,1,14000,Y
베이글1+1티셔츠,4.베이지set,XS,14000,1,14000,Y
슈트메로나,블루,BM,15000,1,15000,Y
CUP맨투맨,핑크,XS,12000,1,12000,N
다람쥐골지실내복,오트밀,M,13000,1,13000,N
닥터베어맨투맨,차콜,XS,14000,2,28000,N
데이지꽃곰상하,라이트엘로우,XS,15000,1,15000,N
러브미모어맨투맨,메란지,S,15000,1,15000,Y
모카봉봉목폴라티,베이지,S,9000,1,9000,N
모카봉봉목폴라티,아이보리,S,9000,1,9000,N
모카봉봉목폴라티,오트밀,XS,9000,1,9000,N
모카봉봉목폴라티,오트밀,M,9000,1,9000,N
미드나잇맨투맨,백메란지,L,13000,1,13000,N
밍크조거팬츠,그레이,L,12000,1,12000,N
밍크조거팬츠,그레이,XL,12000,1,12000,N
밍크조거팬츠,버터,L,12000,1,12000,N
밍크조거팬츠,베이지,S,12000,1,12000,N
밍크조거팬츠,베이지,L,12000,1,12000,N
밍크조거팬츠,브라운,XS,12000,1,12000,N
배색레깅스,4.브라운,S,8000,1,8000,N
배색레깅스,1.베이지,XS,8000,1,8000,Y
배색레깅스,1.베이지,S,8000,2,16000,Y
배색레깅스,2.크림(블랙),S,8000,1,8000,Y
빅단가라맨투맨,블루레드,XS,15000,1,15000,N
빅단가라맨투맨,블루레드,L,15000,1,15000,N
빅단가라맨투맨,핑크그린,XS,15000,1,15000,N
베어원피스,핑크,XS,16000,1,16000,N
빅단가라OPS,블루레드,XS,18000,1,18000,N
슈트삐삐3종set,옐로우,BS,20000,1,20000,N
알록달록실내복,그린,S,14000,1,14000,N
어텀모달실내복,크림,XL,12000,1,12000,N
어텀모달실내복,베이지,M,12000,1,12000,N
요가레깅스(히트텍),그린,L,10000,1,10000,N
요가레깅스(히트텍),옐로우,L,10000,1,10000,N
요플레목폴라티,검정,S,9000,1,9000,N
요플레목폴라티,검정,M,9000,1,9000,N
요플레목폴라티,크림,XS,9000,2,18000,Y
요플레목폴라티,크림,S,9000,1,9000,Y
요플레목폴라티,크림,M,9000,1,9000,Y
찰랑골지레깅스,민트,L,7000,1,7000,N
채소상하복,브라운,XS,16000,1,16000,N
채소상하복,브라운,S,16000,1,16000,N
촌캉스세트,옐로우플라워,M,30000,1,30000,N
촌캉스세트,옐로우플라워,L,30000,1,30000,N
촌캉스세트,핑크플라워,L,30000,1,30000,N
촌캉스세트,블루플라워,S,30000,1,30000,Y
코듀로이버뮤다PT,크림,S,15000,1,15000,N
테디카라상하,크림,XS,20000,1,20000,N
테디카라상하,크림,S,20000,1,20000,N
테디카라상하,핑크,XS,20000,1,20000,N
프렌즈단가라랍빠티,블랙,XS,10000,1,10000,N
프링목폴라티,그레이,XS,9000,1,9000,N
프링목폴라티,그레이,S,9000,1,9000,N
프링목폴라티,로즈,XS,9000,1,9000,N
프링목폴라티,베이지,XS,9000,1,9000,N
피그먼트컬러PT,핑크,S,20000,1,20000,N
피치러브실내복,크림,XS,15000,1,15000,Y
피치배색스티치팬츠,베이지,XS,18000,1,18000,N
피치배색스티치팬츠,크림,XS,18000,2,36000,N
피크닉캣츠티,연그레이,XS,9000,1,9000,N
피크닉캣츠티,연그레이,S,9000,1,9000,N
하트곰실내복,레드,S,14000,1,14000,N
하트곰실내복,노랑,XS,14000,1,14000,N
하트곰실내복,노랑,S,14000,1,14000,N
히트텍시보리티,크림,XS,10000,1,10000,N
