품명,색상,사이즈,단가,수량,금액,미송여부
노멀 반폴라,블랙,17,12000,1,12000,N
24니트 핸드워머,블랙,FREE,10000,1,10000,N
레오파드 미니백,브라운,FREE,11000,1,11000,Y
레이스 믹스 sk,네이비,11,19000,1,19000,N
레이스 믹스 sk,네이비,13,21000,1,21000,N
루즈핏 크롭 후드티,블루,09,21000,1,21000,N
리본 벌룬 sk,크림,13,26000,1,26000,N
리본 벨로아 트레이닝,블랙,15,26000,1,26000,N
벌룬 호피 팬츠,차콜,17,32000,1,32000,Y
트임 벨로아 부츠컷,블랙,13,22000,1,22000,Y
부클 미니 sk,블랙,09,12000,1,12000,N
숏 부클 mtm,블랙,13,21000,1,21000,N
숏 부클 mtm,블랙,09,18000,1,18000,N
스노우 더플 코트,블랙,09,65000,1,65000,N
앙고라 베레모,멜란지,FREE,18000,1,18000,Y
양털 롱부츠,블랙,190,36000,1,36000,Y
언발나시,피그차콜,15,10000,1,10000,N
캣츠 귀달이,아이,FREE,15000,1,15000,N
팀버 워커,카멜,210,24000,1,24000,N
Sweet 패딩 점퍼,핑크,13,54000,1,54000,N
호그와트 넥타이,네이비,FREE,10000,1,10000,Y
호그와트 넥타이,버건디,FREE,10000,1,10000,Y
호피 트레이닝,차콜,15,32000,1,32000,N
호피 트레이닝,차콜,17,32000,1,32000,N
