품명,색상,사이즈,단가,수량,금액,미송여부
고유맨투맨,네이비,JL,27000,1,27000,Y
나면바지-맘,레드,MOM,35000,1,35000,Y
단카라t,아이레드,JL,23000,1,23000,N
고도리카pt,그레이,JS,22000,1,22000,Y
고도리카pt,브라운,JM,22000,2,44000,Y
고도리카pt,브라운,L,19000,1,19000,Y
고유맨투맨,네이비,L,22000,1,22000,Y
고유맨투맨,베이지,S,22000,1,22000,Y
고유세뚜,그린,JL,30000,1,30000,N
고유세뚜,그린,JS,30000,1,30000,N
고유세뚜,그린,XS,25000,1,25000,N
고유세뚜,네이비,JM,30000,1,30000,N
고유세뚜,레드,JM,30000,1,30000,N
고유세뚜,레드,L,25000,1,25000,N
고유세뚜,레드,S,25000,1,25000,N
고유세뚜,메란지,JM,30000,1,30000,N
고유세뚜,메란지,XL,25000,1,25000,N
고유세뚜,메란지,JM,30000,1,30000,N
고유세뚜,브라운,JM,30000,1,30000,N
고유세뚜,브라운,JS,30000,3,90000,N
고유세뚜,브라운,XL,25000,1,25000,N
고유세뚜,브라운,XS,25000,1,25000,N
고유세뚜,블랙,JL,30000,1,30000,N
고유세뚜,블랙,L,25000,1,25000,N
고유세뚜,블랙,M,25000,1,25000,N
고유세뚜,오트밀,JM,30000,2,60000,N
고유세뚜,오트밀,JS,30000,1,30000,N
고유세뚜,오트밀,M,25000,1,25000,N
고유세뚜,오트밀,XL,25000,1,25000,N
고유세뚜-맘,브라운,MOM,35000,1,35000,N
고유세뚜-맘,블랙,MOM,35000,1,35000,N
고유스타킹,레드,L,10000,1,10000,N
고유스타킹,레드,S,10000,2,20000,N
고유스타킹,아이,L,10000,1,10000,N
고유청바지,블랙,JL,32000,1,32000,Y
나면바지,레드,JL,27000,1,27000,Y
나면바지,레드,L,23000,1,23000,Y
나면바지,레드,XS,23000,1,23000,Y
나면바지,베이지,JL,27000,1,27000,Y
네모패딩,그린,IS,45000,1,45000,Y
네모패딩,그린,M,40000,1,40000,N
네모패딩,베이지,JS,45000,1,45000,Y
단카라t,아이레드,S,20000,1,20000,N
단카라t,메란지곤,xs,20000,1,20000,N
단카라t,아이레드,L,20000,1,20000,Y
단카라t,아이레드,XS,20000,1,20000,N
레이스바지,옐로우베,S,20000,1,20000,Y
마미손머플러,네이비,1,9000,1,9000,N
밍클베스트,레드,S,28000,1,28000,Y
밍클베스트,차콜,M,28000,1,28000,Y
밍클베스트,크림,S,28000,1,28000,Y
밍클비니,레드,아동,13000,1,13000,Y
밍클비니,크림,아동,13000,1,13000,Y
밍클워머,차콜,아동,14000,1,14000,Y
바닐비니,메란지,아동,10000,1,10000,N
반반pt,오트밀,JS,23000,1,23000,N
반반pt,오트밀,S,18000,1,18000,N
비빔집업,레드,L,24000,1,24000,Y
비빔집업,레드,S,24000,2,48000,Y
뽀송mtm,핑크,S,22000,1,22000,Y
소프트폴라,레드,L,13000,1,13000,N
소프트폴라,레드,S,13000,1,13000,N
소프트폴라,차콜,JL,16000,2,32000,N
소프트폴라,크림,JL,16000,2,32000,N
이어베레모,블랙,ONE,21000,1,21000,Y
첵책바지,네이비,JL,25000,1,25000,Y
첵책바지,베이지,JL,25000,1,25000,Y
타이트set,베이지,L,20000,3,60000,Y
타이트set,베이지,M,20000,1,20000,Y
타이트set,베이지,S,20000,3,60000,Y
타이트set,베이지,XS,20000,1,20000,N
타이트set,차콜,L,20000,1,20000,Y
털털한바지,연청,JL,32000,1,32000,N
털털한바지,진청,JL,32000,1,32000,N
털털한바지,진청,L,27000,1,27000,N
폭닥pt,핑크,S,22000,1,22000,Y
합격mtm,밤빨,XS,20000,1,20000,Y
합격mtm,회먹,JL,25000,1,25000,Y
후드폴라,메란지,XS,12000,1,12000,N
후드폴라,오트밀,S,12000,2,24000,N
후드폴라,오트밀,XS,12000,2,24000,N
후드폴라,크림,JS,15000,1,15000,N
