품명,색상,사이즈,단가,수량,금액,미송여부
ACC)고양이비니,블랙,Mids,11000,1,11000,Y
기획) 1+1웜플라티,블럭세트,S,13500,1,13500,Y
기획) 1+1웜플라티,블랙세트,M,13500,1,13500,Y
눈송이반팔가디건,노랑,M,17000,1,17000,N
뉴리본크롭맨투맨,아이,S,14000,1,14000,N
니니후리스고쟁이,브라운리본,S,12000,1,12000,N
니니후리스고쟁이,아이꽃,S,12000,2,24000,Y
Adult(니니후리스고쟁이,아이플,FREE,22000,1,22000,Y
러빗후드집업,핑크,S,27000,1,27000,Y
럽유먼투맨,아이,S,16000,1,16000,N
멜로디레이스맨투맨,노랑,S,19000,2,38000,N
멜로디리본팬츠,노랑,S,13000,2,26000,Y
무드골덴고쟁이(겨울),브라운,M,12000,2,24000,Y
무드골덴고쟁이(겨울),아이,M,12000,1,12000,Y
쇼콜라체크팬츠,브라운,M,15000,1,15000,N
체리케이크맨투맨,아이,XS,15000,1,15000,Y
켓프렌즈맨투맨,핑크,S,16000,1,16000,N
폴하프코트,브라운,S,29000,1,29000,N
하트자수절개팬츠,흑청,M,20000,1,20000,Y
하트자수절개팬츠,흑청,S,20000,1,20000,Y
홀리데이원피스,핑크,L,22000,1,22000,Y
