품명,색상,사이즈,단가,수량,금액,미송여부
tg-건빵 솜본딩조거pt,베이지,XL,16000,1,16000,N
tg-건빵 솜본딩조거pt,블랙,M,16000,1,16000,Y
tg-골덴기모 배기pt,모카,XL,16000,1,16000,Y
tg-골덴기모 배기pt,베이지,JS,19000,1,19000,Y
tg-단가라기모카라,블랙,XL,17000,1,17000,N
tg-단가라기모카라t,블랙,JS,20000,1,20000,N
tg-단가라기모카라t,핑크,XL,17000,1,17000,N
tg-데미지 기모청pt,애쉬블랙,XL,18000,1,18000,N
tg-동그리 골덴본당pt,연베이지,XS,12000,1,12000,N
tg-둥근 통배기청pt,블랙,XL,17000,1,17000,N
tg-로렌 mtm,블루,JS,19000,1,19000,N
tg-로아 본딩레깅스,블랙,S,8000,1,8000,N
tg-봉쥬르 mtm,레드,XL,18000,1,18000,N
tg-뽀송 덤블점퍼,크림,L,17000,1,17000,Y
tg-오스카 폴라t,아이,XL,9000,1,9000,N
tg-오스카폴라t,아이,JS,11000,1,11000,N
tg-유니콘mtm,연블루,M,14000,1,14000,N
tg-유니콘mtm,연블루,JS,17000,1,17000,N
tg-제니 꽃 본덩레깅스,크림,L,10000,1,10000,N
tg-제니 꽃 본덩레깅스,크림,JS,12000,1,12000,N
tg-치즈 폴라t,블랙,XS,6000,1,6000,N
tg-기모 톡톡청pt,중청,L,18000,1,18000,N
tg-기모 톡톡청pt,중청,JS,19000,1,19000,N
tg-판타롱 본딩스판pt,아이,JS,10000,1,10000,N
tg-포근해 후드t,메란지,L,13000,1,13000,N
