품명,색상,사이즈,단가,수량,금액,미송여부
나팔레깅스,브라운,M,9000,1,9000,N
다우니맨투맨,베이지,XS,12000,1,12000,N
랄라KC골지타이즈,아이,XS,6000,1,6000,N
무스T,아이,L,10000,1,10000,N
바둑이체크JK,레드체크,L,29000,1,29000,N
비숑PT,아이,M,12000,2,24000,N
빈티지캡,레드,FREE,13000,1,13000,N
스머프T,소라,M,18000,2,36000,N
아가일조끼,1 color,M,16000,1,16000,N
앙기모레깅스,레드,XL,8000,1,8000,N
앙기모레깅스,아이,L,8000,1,8000,N
오픈니트슈트,크림,S,24000,1,24000,N
오픈니트슈트,크림,M,24000,1,24000,N
윈터폴라T,아이,M,10000,1,10000,N
카스테라조끼,모카,M,12000,1,12000,N
카스테라조끼,베이지,M,12000,1,12000,N
카스테라PT,모카,M,12000,1,12000,N
카스테라PT,베이지,M,12000,1,12000,N
제레미JK,베이지,S,34000,1,34000,N
코디레깅스,블랙,L,6000,1,6000,N
코디레깅스,연베이지,L,6000,1,6000,N
클럽T,모카,M,11000,2,22000,N
클럽T,베이지,M,11000,1,11000,N
클럽T,아이,M,11000,1,11000,N
클럽T,아이,S,11000,2,22000,N
트리보넷,레드,FREE,8000,1,8000,N
트리슈트,레드,S,22000,1,22000,N
퍼프곰슈트,베이지,XS,24000,1,24000,N
퍼프토끼슈트,베이지,S,24000,1,24000,N
퍼프토끼슈트,아이,S,24000,1,24000,N
퍼프토끼슈트,아이,XS,24000,1,24000,N
퍼프티라노슈트,그린,XS,24000,1,24000,N
