품명,색상,사이즈,단가,수량,금액,미송여부
ABC삭스,,XL,10000,1,10000,N
네츄럴 삭스,,XL,8000,1,8000,N
도토리비니,검정,FREE,7000,1,7000,N
러브삭스,ONE,XL,6000,1,6000,N
레이어드삭스,ONE,XL,9000,1,9000,Y
면비니,메란지,FREE,3000,1,3000,N
면비니,베이지,FREE,3000,1,3000,N
면비니,브라운,FREE,3000,1,3000,N
면비니,블랙,FREE,3000,1,3000,N
면비니,아이,FREE,3000,1,3000,N
미니스웨이드벨트백,브라운,FREE,24000,1,24000,N
밤비머플러,레드,FREE,15000,1,15000,Y
밤비머플러,메란지,FREE,15000,2,30000,Y
밤비머플러,오트밀,FREE,15000,1,15000,Y
밤토리보넷,메란지,FREE,9000,1,9000,N
밤토리보넷,크림,FREE,9000,2,18000,N
버블삭스,ONE,XL,6000,1,6000,N
버터삭스,ONE,XL,6000,1,6000,N
앤더스패딩,아이보리,S,49000,1,49000,N
체커보드삭스,one,XL,6000,1,6000,N
탐탐삭스,ONE,S,8000,2,16000,N
탐탐삭스,ONE,XL,8000,1,8000,N
투게더삭스,크림,XL,7000,1,7000,N
퓨처삭스,,XL,6000,1,6000,N
퓨처삭스,,M,6000,1,6000,N
