품명,색상,사이즈,단가,수량,금액,미송여부
24w.b기모니트레깅스,진밤,BS,7000,1,7000,N
24w.b기모니트레깅스,크림,BS,7000,1,7000,N
24w.b니트뿔비니,아이,FREE,9000,1,9000,Y
24w.b딩굴슈트,네이비,BS,17000,1,17000,N
24w.b버튼골덴멜빵,초코밤,BS,19000,1,19000,N
24w.b체크멜빵 P,겨자,BS,17000,1,17000,N
24w.b통통골덴 P,연블루,BM,10000,1,10000,N
24w.b통통골덴 P,크림베이지,BS,10000,1,10000,N
24w.b파스텔반폴라티,아이,BS,8000,1,8000,Y
24w.b파스텔반폴라티,차콜,BS,8000,1,8000,N
24w.b푸들빵모자,아이,FREE,7000,1,7000,N
24w.b항아리누빔멜빵,아이,BS,17000,1,17000,N
24w.골덴몸빼 P,네이비,M,12000,1,12000,Y
24w.골덴몸빼 P,크림,S,12000,1,12000,Y
24w.골덴몸빼 P,핑크,M,12000,2,24000,Y
24w.골덴몸빼 P,핑크,S,12000,2,24000,Y
24w.그림덤블 M,노르딕밤,M,15000,1,15000,Y
24w.라라밍크레깅스,베이지,L,6000,1,6000,N
24w.라라밍크레깅스,블랙,L,6000,1,6000,N
24w.루즈핏목폴라티,크림,L,12000,1,12000,N
