품명,색상,사이즈,단가,수량,금액,미송여부
겨울골지양말set,베이지,XL(9~12),6000,1,6000,N
겨울돌돌이양말,네이비,S(0-1세),2000,1,2000,N
겨울돌돌이양말,크림,S(0-1세),2000,1,2000,Y
골지바라클라바,크림,,6000,1,6000,N
꼬불이양말,크림,L(5~8),2000,2,4000,N
24가을남아드로즈팬티,N159,110,9000,1,9000,N
24가을남아드로즈팬티,N160,110,9000,1,9000,Y
24가을남아드로즈팬티,N163,110,9000,1,9000,N
24가을남아드로즈팬티,N164,110,9000,1,9000,N
뉴곰돌모자목도리,베이지,44-50cm/6m-3g),6000,2,12000,N
뉴진스발토시,블랙,45cm,3500,1,3500,N
뉴진스발로시,화이트,45cm,3500,1,3500,Y
니트리본똑딱핀,그린,,1000,1,1000,N
드림털부츠,브라운,20(150),12000,1,12000,N
따뜻한슈즈,블랙,21(130),14000,1,14000,Y
따뜻한슈즈,블랙,23(140),14000,1,14000,Y
레드니트리본핀,onecolor,,500,13,6500,N
레터링양말set,,XL(9~12),6000,1,6000,N
명단가라양말,브라운,S(6-12M),2500,1,2500,N
모네슈즈,브라운,160,10000,1,10000,N
무릎보호니삭스,화이트,6-18m,3000,1,3000,N
방울귀달이비니,베이지,,7000,1,7000,N
배색베어바라클라바,베이지,46-51cm/6m-3/1,7000,1,7000,N
베베두줄운동화,화이트,130,7000,1,7000,N
베베뽀글부츠,연방,L(130),8000,1,8000,N
벨로아머리띠,핑크,,1000,9,9000,Y
보드리똑딱핀,토끼,,1000,1,1000,N
보카시똑딱핀,그린,,500,3,1500,N
보카시똑딱핀,브라운,,500,7,3500,N
보카시똑딱핀,블랙,,500,3,1500,Y
보카시똑딱핀,핑크,,500,8,4000,Y
보카시똑딱핀,화이트,,500,1,500,N
보카시폼폼양말,그레이,XS,2500,1,2500,N
보카시폼폼양말,크림,XS,2500,1,2500,N
브러쉬집게핀,브라운,,500,1,500,N
브러쉬집게핀,블랙,,500,1,500,N
브러쉬집게핀,핑크,,500,1,500,Y
브러쉬집게핀,화이트,,500,1,500,N
빨간똑딱핀,노랑(꽃),,500,1,500,N
빨간똑딱핀,빨강(체리),,500,1,500,N
빨간양말set,도트set,M(3~5),4000,1,4000,N
스노우뽀글슈즈,,130,7000,1,7000,Y
스텔라머리끈,A(보),,500,11,500,N
쓰리톤골지양말(여성),차콜,,2000,1,2000,Y
쓰리톤골지양말(여성),흰파,,2000,1,2000,Y
쓰리톤골지양말(여성),흰핑,,2000,1,2000,Y
양방울니트모자,브라운,,6000,1,6000,N
양방울니트모자,크림,,6000,1,6000,N
잔체크도트똑딱핀,그린,,1000,1,1000,N
잔체크도트똑딱핀,노랑,,1000,1,1000,N
잔체크도트똑딱핀,레드,,1000,1,1000,N
잔체크도트똑딱핀,블루,,1000,1,1000,N
잔체크도트똑딱핀,오렌지,,1000,1,1000,N
잔체크도트똑딱핀,핑크,,1000,1,1000,Y
젤리곰머리끈,A(보라),,1000,1,1000,N
코알라양말슈즈,브라운,S,4000,1,4000,N
코알라양말슈즈,베이지,L,4000,1,4000,N
투톤방울보넷모자,베이지,4m-3y,5000,2,10000,Y
투톤방울보넷모자,브라운,4m-3y,5000,1,5000,Y
투톤방울보넷모자,화이트,4m-3y,5000,2,10000,Y
패딩벙거지장갑,블랙,S(6m-2y),6000,1,6000,N
ot/ribbon hair,gold,1set(2pcs)/8cm,500,3,1500,Y
ot/ribbon hair,silver,1set(2pcs)/8cm,500,4,2000,Y
