품명,색상,사이즈,단가,수량,금액,미송여부
겨울엠보팬츠,도트도트,S,9000,1,9000,N
겨울엠보팬츠,브라운,12M,8000,1,8000,Y
겨울 엠보팬츠,블럭체크,12M,8000,1,8000,Y
귀욤 귀달이 보넷(베베),베이지,FREE,9000,1,9000,Y
귀욤 빵떡 슈트,도트베이지,6M,22000,1,22000,Y
귀음 빵떡 슈트,베이지,12M,22000,1,22000,Y
KIND 기모 맨투맨,오트밀,M,13000,1,13000,Y
깡총비니2(베베),차콜,FREE,6000,1,6000,N
날개 골지 기모티,크림,S,13000,1,13000,Y
덤블베스트,브라운,12M,25000,1,25000,N
로멀 포켓팬츠,블루데님,L,15000,1,15000,N
로멀 포켓팬츠,블루데님,18M,14000,2,28000,Y
몽글 덤블 지켓,브라운,12M,27000,1,27000,Y
몽글 보낫햇(베베),브라운,FREE,12000,1,12000,N
밍크레깅스,베이지,L,7000,1,7000,N
밍크레깅스,베이지,18M,6000,1,6000,Y
반넥 스트라이프 티셔츠,핑크ST,18M,10000,1,10000,Y
반넥워머2(베베),모카,FREE,6000,2,12000,N
버니 하트 슈트,브라운토끼,12M,20000,1,20000,N
버니 하트 슈트,핑크토끼,18M,20000,1,20000,Y
베네 곰돌이 덤블 비니(베베),아이보리,FREE,9000,1,9000,Y
벨루윈터컵,차콜컵,FREE,11000,1,11000,N
부클 베어 비니2(베베),아이보리,FREE,9000,1,9000,Y
뽀송목도리,베이지,FREE,10000,1,10000,N
샐리 레이스 삭스(베베),크림,FREE,6000,1,6000,N
스트라이프 레깅스2,블랙,12M,8000,1,8000,Y
써니 콤비 삭스,1세트(3컬러),베베FREE,8000,2,16000,N
마론 멜빵슈트,크림,12M,24000,1,24000,Y
아론멜빵팬츠,크림,S,23000,1,23000,Y
에이미 주름 스커트,브라운,M,16000,1,16000,N
울베레모,블랙,FREE,10000,1,10000,Y
윈터 치노팬츠,브라운,18M,10000,1,10000,N
윈터치노팬츠,줄블랙,L,12000,1,12000,N
코듀로이 조거팬츠,브라운,18M,10000,1,10000,Y
코어 니트 가디건,베이지,1호,25000,1,25000,N
코어 니트멜빵,베이지,2호,25000,1,25000,N
코코 누빔 슈트,one color,18M,19000,1,19000,Y
콤보롤다운 삭스,SET,2,7000,2,14000,N
쿠션 사각 BIB,아이보리,FREE,11000,1,11000,Y
토깽이 부클 모자(베베),아이보리,FREE,11000,1,11000,N
티라미수 기모 맨투맨,차콜,M,13000,1,13000,Y
팝콘 후드 베스트,아이보리,S,15000,1,15000,Y
KIND 포켓 팬츠,오트밀,S,10000,1,10000,Y
플라워 청보닛햇(베베),아이보리,FREE,10000,1,10000,Y
플라워 하트 패딩,아이보리,12M,32000,2,64000,Y
하로이 벨로아 멜빵,인디핑크,6M,10000,1,10000,N
하임 군밤 모자,브라운,FREE,12000,2,24000,Y
하임 군밤 모자,크림,FREE,12000,4,48000,Y
하임 패딩 베스트,크림,M,23000,1,23000,N
하임 패딩 베스트,크림,12M,20000,1,20000,Y
후리스 덤블 아노락,아이보리,S,17000,1,17000,Y
후리스 덤블 아노락,아이보리,18M,15000,1,15000,Y
후리스 덤블 조거팬츠,아이보리,18M,9000,1,9000,Y
