품명,색상,사이즈,단가,수량,금액,미송여부
24데일리고쟁이,검정,9(L),6000,1,6000,N
24데일리고쟁이,검정,11(XL),6000,1,6000,N
24데일리고쟁이,보라,7(M),6000,1,6000,N
24데일리고쟁이,오트밀,11(XL),6000,1,6000,N
39자수조끼상하,베이지,13(S),18500,1,18500,N
P자수맨투맨,네이비,5(S),10000,1,10000,N
P자수맨투맨,네이비,3(XS),10000,1,10000,N
P자수맨투맨,메란지,5(S),10000,1,10000,N
P자수맨투맨,메란지,3(XS),10000,1,10000,N
P자수맨투맨,초록,5(S),10000,1,10000,N
P자수맨투맨,초록,3(XS),10000,1,10000,N
가을단가라조거,크림검정줄,11(XL),7500,1,7500,N
가을단가라조거,크림민트줄,11(XL),7500,1,7500,N
가을반팔레이어드,아이보리,11(XL),4500,4,18000,N
곰나그랑원피스,핑크,9(L),10000,1,10000,N
곰자수출티,검정,5(S),7000,1,7000,N
곰자수카라상하,오트밀,7(M),15500,1,15500,N
공주프릴바지,크림,7(M),6000,1,6000,N
날라리골지티,검정,7(M),5500,1,5500,N
모어티,먹색,7(M),6000,1,6000,N
모어티,메란지,7(M),6000,1,6000,N
모어티,핑크,7(M),6000,1,6000,N
무지티,소라,7(M),5000,1,5000,N
바스락주머니조거,검정,11(XL),10500,1,10500,N
베어자수티,검정,11(XL),6000,1,6000,N
베이직코튼바지,핑크,11(XL),12500,1,12500,N
블럭자수맨투맨,네이비,11(XL),8500,1,8500,N
선데이맨투맨,네이비,7(M),7500,1,7500,N
야구곰상하,메란지,5(S),14000,1,14000,N
우주공룡맨투맨,크림,7(M),10000,1,10000,N
유지맨투맨,빈티지레드,7(M),8500,1,8500,N
피규어자수상하,핑크,7(M),14000,1,14000,N
피규어자수상하,핑크,5(S),14000,1,14000,N
