품명,색상,사이즈,단가,수량,금액,미송여부
네오t,네이비,s,12000,1,12000,N
네오t,네이비,m,12000,1,12000,Y
네추럴타이즈,겨자,m,9000,1,9000,N
네추럴타이즈,네이비,s,9000,1,9000,N
네추럴타이즈,소라,1,9000,2,18000,N
네추럴타이즈,소라,m,9000,1,9000,N
레이스삭스,와인,s,6000,2,12000,N
레이스삭스,차콜,s,6000,1,6000,N
레이스삭스,크림,s,6000,1,6000,N
레이스삭스,퍼플,s,6000,1,6000,N
레이스삭스,핑크,s,6000,1,6000,N
망토st가디건,크림,m,31000,1,31000,Y
베이직폴라,크림,s,19000,1,19000,Y
베이직폴라,핑크,m,19000,1,19000,N
세일러숄,크림,,16000,1,16000,Y
스웨이V,민트,I,14000,1,14000,N
스웨이t,민트,m,14000,2,28000,Y
스웨이t,민트,s,14000,1,14000,N
스웨이t,카멜베이지,1,14000,1,14000,N
스웨이t,크림,m,14000,1,14000,Y
스웨이t,크림,s,14000,1,14000,Y
스웨이t,크림,xl,14000,1,14000,Y
스텐드벨벳헤어핀세트,블럭,,5000,1,5000,N
올드프릴V,그레이시민트,s,16000,2,32000,Y
올드프릴t,그레이시민트,xl,16000,1,16000,Y
올드프릴t,연보라,s,16000,1,16000,Y
올드프릴t,크림,s,16000,2,32000,Y
올드프릴t,크림,xl,16000,1,16000,Y
울튤립원피스,네이비,I,47000,1,47000,Y
울헨리라운드,치콜,s,37000,1,37000,Y
컬리pt,그린,s,14000,1,14000,Y
컬리pt,핑크,s,14000,1,14000,Y
클래식체크sk,민트,m,24000,1,24000,N
클로이가디건,핑크,s,38000,1,38000,Y
클로이가디건,아이,s,38000,1,38000,Y
클로이가디건,차콜,adult,53000,1,53000,Y
트리플타이즈,네이비,s,13000,1,13000,N
트리플타이즈,버터베이지,s,13000,3,39000,N
트리플타이즈,치콜,s,13000,1,13000,N
트윈스pt,소라,xl,24000,1,24000,Y
플레어팬츠,네이비,m,24000,1,24000,Y
피에르셋트,네이비,I,24000,1,24000,N
피치튤립pt,진청,s,33000,1,33000,N
피케이큐셔링 ops,핑크,s,28000,1,28000,N
