품명,색상,사이즈,단가,수량,금액,미송여부
(베베)리본 기모상하세트,메란지,XS,12000,1,12000,Y
(베베)센디에고 양기모상하세트,인디핑크,XS,16000,1,16000,Y
(베베)짝꿍 기모상하세트,인핑,XS,12000,1,12000,Y
INO.41+1양기모맨투맨,오트밀(메란지),S,15000,1,15000,Y
(NO.3)1+1 라이트 기모맨투맨,블랙,S,12000,1,12000,N
(NO.6)1+1조거팬츠,아이(블랙),S,14000,1,14000,Y
(NO.2)1+1쇼콜라폴라티,아이,S,12000,1,12000,N
(NO.1)1+1 줄리 페이크폴라,블랙,F(2세~9세),5000,1,5000,Y
(NO.1)1+1 줄리 페이크폴라,아이,F(2세~9세),5000,1,5000,N
(NO.1)1+1 줄리 페이크폴라,올리브,F(2세~9세),5000,1,5000,N
(NO.37)롤케이크 덤블카라JP,베이지,M,12000,1,12000,N
(NO.30)밍크골지 통카고팬츠,블랙,2XL,11000,1,11000,Y
(NO.19)보스턴 양기모 맨투맨,머스타드,S,10000,1,10000,N
(NO.10)달콤후리스 상하세트,베이지,L,13000,1,13000,N
(베베)짝꿍 기모상하세트,모카,XS,12000,2,24000,Y
(베베)짝꿍 기모상하세트,인핑,XS,12000,1,12000,Y
(베베)짝꿍 기모상하세트,인핑,S,12000,1,12000,Y
(베베)푸들 상하세트,베이지,XS,14000,1,14000,Y
(베베)푸들 상하세트,베이지,S,14000,1,14000,Y
(베베)허그상하세트,올리브,XS,14000,1,14000,Y
(NO.14)홀리베어 양기모상하세트,메란지,L,15000,1,15000,Y
