품명,색상,사이즈,단가,수량,금액,미송여부
마일드웹텍발열내의,딥핑크,US,15000,1,15000,N
마일드윙텍발열내의,옐로우,JS,15000,1,15000,N
소프티수면조끼,핑크,L,16000,1,16000,Y
킨더버니햇,라메베이지,토끼,13000,1,13000,N
킨더버니햇,파우더핑크,토끼,13000,1,13000,Y
킨더베어햇,라떼베이지,곰,12000,2,24000,Y
킨더베어햇,모브라벤더,곰,12000,1,12000,N
킨더베어햇,뮤트차콜,곰,12000,1,12000,N
킨더베어햇,밀크,곰,12000,2,24000,Y
킨더베어햇,버터엘로우,곰,12000,1,12000,Y
킨더베어햇,파우더핑크,곰,12000,2,24000,Y
킨더베이비슈트,라페베이지,슈트M,26000,1,26000,N
킨더베이비슈트,라페베이지,슈트S,26000,1,26000,N
킨더베이비슈트,모브라벤더,슈트S,26000,1,26000,N
킨더베이비슈트,뮤트차클,슈트S,26000,1,26000,N
킨더베이비슈트,밀크,슈트S,26000,1,26000,Y
킨더베이비슈트,버터엘로우,슈트S,26000,1,26000,N
킨더베이비슈트,파우더핑크,슈트M,26000,1,26000,N
킨더베이비슈트,파우더핑크,슈트L,26000,1,26000,N
킨더베이비슈트,파우더핑크,슈트S,26000,2,52000,N
킨더장갑,모브라벤더,,11000,1,11000,N
킨더플리스자켓,네이비스타,L,17000,1,17000,Y
킨더플리스자켓,네이비스타,M,17000,1,17000,Y
킨더플리스자켓,던블루,L,17000,1,17000,N
킨더플리스자켓,모브라벤더,M,17000,1,17000,N
킨더클리스자켓,모브라벤더,XS,17000,1,17000,N
킨더클리스자켓,버터옐로우,XS,17000,1,17000,N
킨더플리스자켓,파우더핑크,L,17000,1,17000,N
킨더플리스자켓,던블루,대디,30000,1,30000,N
킨더플리스자켓,라떼베이지,맘,30000,1,30000,Y
킨더클리스자켓,라떼베이지,JL,22000,1,22000,Y
킨더플리스자켓,모브라벤더,IS,22000,1,22000,N
텐더오버핏자켓,핑크,JS,27000,1,27000,N
파운드스노우슈트,핑크,L,54000,1,54000,N
