품명,색상,사이즈,단가,수량,금액,미송여부
공룡맨투맨,블루,L,10000,1,10000,Y
공룡맨투맨,아이보리,XL,10000,1,10000,Y
공룡맨투맨,브라운,L,10000,1,10000,N
까델리아티,브라운,L,8000,1,8000,N
까멜리아티,아이보리,L,8000,3,24000,N
까멜리아레깅스,브라운,L,8000,1,8000,Y
니트베레모,검정,FREE,8000,1,8000,N
니트베레모,아이보리,FREE,8000,1,8000,N
니트카라티,베이지,M,22000,1,22000,N
니트베스트,아이보리,S,18000,1,18000,N
니트베스트,베이지,L,18000,1,18000,N
니트케이프티,베이지,L,24000,1,24000,N
니트팬츠,아이보리,S,18000,1,18000,N
둥근카라티,검정,M,10000,1,10000,N
둥근카라티,아이보리,L,10000,1,10000,N
둥근카라티,아이보리,XL,10000,1,10000,N
딸기티,아이보리,L,9000,1,9000,Y
르체크BL,브라운블루라인,XL,14000,1,14000,N
리본핀,베이지,FREE,2000,1,2000,N
리본바지,핑크리본,L,10000,1,10000,N
릴리팬츠,브라운,L,12000,2,24000,Y
마이맨투맨,블루버드,XL,10000,1,10000,N
마이맨투맨,그레이타이거,XL,10000,1,10000,Y
마이맨투맨,아이코끼리,M,10000,1,10000,N
마이맨투맨,아이검정레빗,2XL,10000,1,10000,N
마이맨투맨,핑크하트,2XL,10000,1,10000,N
마이맨투맨,아이리본,L,10000,1,10000,N
마이팬츠,아이검정래빗,2XL,10000,1,10000,N
마이팬츠,아이코끼리,M,10000,1,10000,N
마이팬츠,블루버드,XL,10000,1,10000,N
모네뜨블라우스,아이보리,L,19000,1,19000,N
무당벌레맨투맨,블루,M,10000,1,10000,N
무당벌레맨투맨,아이보리,M,10000,1,10000,Y
보들보들티,아이보리,M,10000,2,20000,N
보틀보들티,아이보리,2XL,10000,1,10000,N
보들보들티,핑크,M,10000,1,10000,N
보들보들티,핑크,L,10000,1,10000,N
보들보들티,핑크,2XL,10000,1,10000,N
봉봉바지,딸기,M,8000,1,8000,N
봉봉바지,꽃브라운,M,8000,1,8000,Y
봉봉바지,꽃브라운,L,8000,2,16000,Y
봉봉바지,꽃브라운,XL,8000,1,8000,N
봉봉바지,나뭇잎브라운,L,8000,1,8000,N
봉봉바지,나뭇잎브라운,XL,8000,1,8000,N
봉봉바지,아이보리,L,8000,1,8000,N
봉봉바지,블루체크,XL,8000,1,8000,N
봉봉BL,꽃브라운,L,19000,1,19000,N
봉봉BL,아이보리,L,19000,1,19000,N
스무스레깅스,검정,M,8000,3,24000,N
스무스레깅스,브라운,M,8000,1,8000,N
스무스레깅스,아이보리,S,8000,1,8000,Y
시그니처티,핑크/아이,M,8000,1,8000,N
시그니처티,핑크/아이,L,8000,2,16000,N
시그니처티,핑크/아이,XL,8000,2,16000,N
시그니처티,베이지/블루,M,8000,1,8000,Y
시그니처티,베이지/블루,L,8000,3,24000,Y
시그니처티,베이지/블루,2XL,8000,1,8000,N
시그니처티,블랙/아이,M,8000,1,8000,Y
시그니처티,블랙/아이,L,8000,2,16000,Y
시그니처티,블랙/아이,XL,8000,1,8000,Y
시그니처티,아이/그레이,M,8000,2,16000,Y
시그니처티,아이/그레이,L,8000,2,16000,Y
시그니처티,베이지/그린,L,8000,2,16000,Y
아일렛티,블루,M,10000,1,10000,N
