품명,색상,사이즈,단가,수량,금액,미송여부
마일드웹텍발열내의,딥핑크,L,11000,1,11000,N
마일드윙텍발열내의,오션블루,L,11000,1,11000,N
무브아일렛실내복,네이비,XL,12000,1,12000,N
무브아일렛실내복,크림,XL,12000,2,24000,N
킨더머플러,밀크,,10000,4,40000,N
킨더버니햇,밀크,토끼,13000,1,13000,N
킨더버니햇,버터옐로우,토끼,13000,2,26000,Y
킨더버니햇,파우더핑크,토끼,13000,7,91000,Y
킨더베어햇,던블루,곰,12000,5,60000,N
킨더베어햇,라떼베이지,곰,12000,5,60000,Y
킨더베어햇,모브라벤더,곰,12000,1,12000,N
킨더베어햇,뮤트차콜,곰,12000,1,12000,N
킨더베어햇,밀크,곰,12000,10,120000,N
킨더베어햇,버터엘로우,곰,12000,7,84000,Y
킨더베어햇,파우더핑크,곰,12000,6,72000,N
킨더베어햇,허니멜론,곰,12000,1,12000,N
킨더베이비슈트,던블루,슈트L,26000,1,26000,N
킨더베이비슈트,던블루,슈트M,26000,1,26000,N
킨더베이비슈트,던블루,슈트S,26000,1,26000,N
킨더베이비슈트,던블루,슈트XL,26000,1,26000,N
킨더베이비슈트,라페베이지,슈트L,26000,1,26000,N
킨더베이비슈트,라페베이지,슈트M,26000,3,78000,N
킨더베이비슈트,라페베이지,슈트S,26000,1,26000,N
킨더베이비슈트,모브라벤더,슈트L,26000,1,26000,N
킨더베이비슈트,뮤트차클,슈트XL,26000,1,26000,N
킨더베이비슈트,밀크,슈트L,26000,3,78000,N
킨더베이비슈트,밀크,슈트M,26000,6,156000,Y
킨더베이비슈트,밀크,슈트S,26000,4,104000,N
킨더베이비슈트,버터엘로우,슈트L,26000,2,52000,N
킨더베이비슈트,버터멜로우,슈트M,26000,6,156000,Y
킨더베이비슈트,버터열로우,슈트XL,26000,1,26000,N
킨더베이비슈트,파우더핑크,슈트L,26000,3,78000,N
킨더베이비슈트,파우더핑크,슈트M,26000,4,104000,Y
킨더베이비슈트,파우더핑크,슈트S,26000,4,104000,Y
킨더베이비슈트,파우더핑크,슈트XL,26000,2,52000,N
킨더수면조끼,라페베이지,L,17000,1,17000,N
킨더장갑,라떼베이지,,11000,2,22000,N
킨더쭈꾸햇,버터옐로우,,13000,1,13000,N
킨더플리스자켓,허니멜론,XL,17000,1,17000,N
킨더플리스자켓,던블루,M,17000,1,17000,N
킨더플리스자켓,라떼베이지,L,17000,2,34000,N
킨더플리스자켓,버터옐로우,L,17000,2,34000,N
킨더플리스자켓,허니멜론,L,17000,1,17000,N
킨더플리스자켓,던블루,대디,30000,1,30000,N
킨더클리스자켓,뮤트차콜,대디,30000,1,30000,N
킨더플리스자켓,밀크,대디,30000,1,30000,N
텐더베이비슈트,핑크,M,31000,1,31000,N
텐더오버핏자켓,베이지,L,24000,1,24000,N
텐더오버핏자켓,블루,M,24000,1,24000,N
텐더토이햇,블루,one size,18000,1,18000,N
포그양기모 셋업,오트밀,M,24000,1,24000,N
하프골지실내복,노랑+블루,S,13000,1,13000,N
