품명,색상,사이즈,단가,수량,금액,미송여부
b-티라미슈pt,메란지,3,12000,1,12000,Y
b-후드폴라,단가라,3,11000,1,11000,Y
b-후드폴라,오트밀,3,11000,1,11000,Y
고유맨투맨,베이지,S,22000,1,22000,Y
고유맨투맨,베이지,XS,22000,1,22000,Y
고유세뚜,네이비,S,25000,1,25000,N
고유세뚜,블랙,L,25000,1,25000,N
고유세뚜,오트밀,S,25000,1,25000,N
고유스타킹,차콜,XL,10000,1,10000,N
꽁꽁jp,아이,xs,43000,1,43000,N
꽁꽁jp,카키,JL,48000,1,48000,N
네모패딩,베이지,M,40000,1,40000,N
단카라t-맘,아이레드,MOM,27000,1,27000,N
단카라t,아이레드,XL,20000,1,20000,N
두줄jp,차콜,L,43000,1,43000,Y
레이스바지,아이,XS,20000,1,20000,Y
레이스바지,옐로우베,M,20000,1,20000,Y
레이스바지,옐로우베,S,20000,1,20000,Y
마미손머플러,네이비,1,9000,1,9000,N
바닐비니,크림,아동,10000,1,10000,N
바닐워머,메란지,아동,10000,1,10000,N
바닐워머,크림,아동,10000,1,10000,N
뽀송mtm,크림,XS,22000,1,22000,Y
섞어후드,메란지,S,22000,1,22000,N
소프트폴라,레드,S,13000,1,13000,N
유니크jp,브라운,L,38000,1,38000,Y
첵책바지,베이지,S,22000,1,22000,Y
킹골pt,베이지,L,28000,1,28000,N
타이트set-맘,베이지,one,32000,1,32000,Y
타이트set,베이지,L,20000,1,20000,N
타이트set,베이지,S,20000,2,40000,N
타이트set,베이지,XL,20000,1,20000,N
타이트set,차콜,S,20000,1,20000,N
후드폴라,단가라,JS,15000,1,15000,N
후드폴라,단가라,L,12000,1,12000,N
후드폴라,단가라,S,12000,2,24000,N
후드폴라-맘,단가라,MOM,19000,1,19000,N
후드폴라,메란지,JM,15000,1,15000,N
후드폴라,블랙,L,12000,1,12000,N
후드폴라-맘,오트밀,MOM,19000,1,19000,N
후드폴라,오트밀,S,12000,3,36000,N
후드폴라,오트밀,XL,12000,2,24000,N
후드폴라,크림,JS,15000,1,15000,N
흑과백t,차콜,JL,20000,1,20000,Y
흑과백t,차콜,S,16000,1,16000,Y
흑과백t,차콜,XL,16000,1,16000,Y
