품명,색상,사이즈,단가,수량,금액,미송여부
기획) 1+1원플라티,베이지세트,S,13500,1,13500,Y
ACC)고양이비니,베이지,kids,11000,1,11000,N
ACC)곰돌미뽀글이모자,브라운,kids,15000,1,15000,Y
눈송이반팔가디건,노랑,S,17000,1,17000,N
뉴챠밍부츠컷팬츠,크림,S,23000,1,23000,N
뉴챠밍부츠컷팬츠,핑크,L,23000,1,23000,N
니니후리스고쟁이,브라운리본,S,12000,1,12000,Y
니니후리스고쟁이,브라운리본,M,12000,1,12000,Y
니니후리스고쟁이,아이꽃,S,12000,1,12000,Y
뜨게리본폴라티,아이,S,12000,1,12000,N
뜨거리본폴라티,핑크,L,12000,1,12000,N
러빗블루머팬츠,아이,S,16000,1,16000,N
러빗후드집업,아이,S,27000,1,27000,Y
럽유먼투맨,레드,S,16000,1,16000,Y
럽유먼투맨,아이,S,16000,1,16000,N
럽유맨투맨,아이,XL,16000,1,16000,N
메리체크팬츠,레드,2XL,17500,1,17500,Y
멜로디레이스맨투펜,노랑,M,19000,1,19000,Y
멜로디레이스맨투맨,노랑,S,19000,2,38000,N
멜로디레이스맨투맨,크림,S,19000,1,19000,N
멜로디레이스맨투맨,크림,M,19000,1,19000,N
멜로디리본팬츠,노랑,M,13000,1,13000,Y
멜로디리본팬츠,노랑,S,13000,1,13000,Y
멜로디리본팬츠,크림,S,13000,1,13000,Y
무드골덴고쟁이(겨울),브라운,S,12000,1,12000,Y
무드골덴고쟁이(겨울),브라운,L,12000,1,12000,Y
무드골덴고쟁이(겨울),마이,S,12000,1,12000,Y
무드골덴고쟁이(겨울),핑크,L,12000,1,12000,Y
무드골덴고쟁이(겨울),핑크,S,12000,1,12000,N
벨벳카라세트,블럭,S,26500,1,26500,N
보들자수곰세트,마이,S,26000,1,26000,N
오리지널후드티,네이비,L,20000,1,20000,N
오리지널후드티,브라운,L,20000,1,20000,N
오리지널후드티,브라운,M,20000,1,20000,N
기획) 1+1월폴라티,베이지세트,L,13500,1,13500,Y
기획) 1+1웜플라티,베이지세트,S,13500,1,13500,Y
체리케이크맨투맨,아이,S,15000,2,30000,Y
Adut0체리케이크맨투맨,차콜,FREE,24000,1,24000,N
퍼피나그랑맨투맨,네이비,S,16000,1,16000,N
ACC)포근귀달이빙거지,마이,Kids,16000,1,16000,Y
포근벨로아팬츠,아이,M,13000,1,13000,N
폭닥워머레깅스,아이,S,12000,1,12000,N
하트자수절개팬츠,아이,S,20000,1,20000,N
홀리데이원피스,핑크,L,22000,2,44000,Y
홀리데이원피스,핑크,S,22000,2,44000,N
보들자수곰세트,핑크,L,26000,1,26000,N
