품명,색상,사이즈,단가,수량,금액,미송여부
2줄기모청바지,검정,15,28000,1,28000,Y
89기모크롬맨투맨,버건디,11,14000,1,14000,N
89기모후드집업,메란지,17,30000,1,30000,Y
97기모크롬맨투맨,검정,11,13000,1,13000,N
곰두마리기모맨투맨,브라운,07,17000,1,17000,N
곰두마리기모맨투맨,아이,17,21000,1,21000,N
단가라토끼기모맨투맨,곤색,13,20000,1,20000,Y
단가라토끼기모맨투맨,곤색,15,20000,1,20000,Y
단가라토끼기모맨투맨,아이,05,17000,1,17000,N
단가라토끼기모맨투맨,아이,07,17000,1,17000,N
단가라토끼기모맨투맨,아이,09,17000,1,17000,N
단가라토끼기모맨투맨,아이,11,17000,1,17000,Y
단가라토끼기모맨투맨,아이,13,20000,1,20000,Y
단가라토끼기모맨투맨,아이,15,20000,1,20000,Y
메이드양기모조거바지,메란지,13,24000,1,24000,Y
반폴라기모티,아이,13,15000,1,15000,Y
벨로아밍크조거바지,아이,17,18000,1,18000,N
