품명,색상,사이즈,단가,수량,금액,미송여부
골지타이즈,베이지,M,5000,1,5000,Y
로우리비니,핑크,FREE,6000,1,6000,N
로진바라클라바,그레이,FREE,5000,1,5000,Y
로진바라클라바,아이,FREE,5000,3,15000,Y
루이블랙,,FREE,5000,1,5000,N
리본머리띠,블랙,,2000,3,6000,N
리본머리띠,아이보리,,2000,1,2000,N
링클리본장갑,연핑,,7000,1,7000,N
버블장갑,베이지,,5000,1,5000,N
부띠끄머플러,연베,FREE,3000,2,6000,Y
부띠끄머플러,진베,FREE,3000,1,3000,Y
부띠끄머플러,핑크,FREE,3000,1,3000,Y
비글비니,차콜,,6000,1,6000,N
우퍼바라클라바,아이,,7000,1,7000,Y
포돌바라클라바,베이지,베이비,3000,3,9000,Y
포돌바라클라바,브라운,베이비,3000,2,6000,Y
포돌바라클라바,옐로우,베이비,3000,1,3000,Y
핸프장갑,브라운,키즈,4000,1,4000,Y
홀링4종,,FREE,6000,1,6000,N
