품명,색상,사이즈,단가,수량,금액,미송여부
건빵단가라T,검정ST,M,16000,1,16000,N
기봉티셔츠,크림,XL,10000,1,10000,N
나나베스트,그레이,S,24000,1,24000,N
다잉데님팬츠,연카키,XL,24000,1,24000,N
돌돌이니트,ST메란지,S,24000,1,24000,N
디 맨투맨,소라,L,13000,1,13000,N
디 맨투맨,팥죽,L,13000,1,13000,N
라인티셔츠,오트밀,XL,13000,1,13000,N
레터 티셔츠,아이,M,12000,1,12000,N
멀티ST T,네이비,XL,12000,1,12000,N
멀티STT,네이비,XXL,12000,1,12000,N
멀티STT,메란지,XL,12000,1,12000,N
멀티STT,메란지,XXL,12000,1,12000,N
멀티STT,메란지,L,12000,1,12000,N
멜로조거 팬츠,메란지,XL,16000,2,32000,N
멜로조거 팬츠,브라운,L,16000,1,16000,N
멜로조거 팬츠,브라운,XL,16000,1,16000,N
멜로조거 팬츠,오트밀,L,16000,1,16000,N
멜로조거 팬츠,오트밀,XL,16000,1,16000,N
모리팬츠,블루,M,16000,1,16000,N
모리팬츠,차콜,M,16000,1,16000,N
모어티셔츠,메란지,XL,13000,1,13000,N
모어티셔츠,베이지,XL,13000,1,13000,N
버그티셔츠,네이비,L,13000,2,26000,N
버뮤다데님 팬츠,중청,XL,21000,1,21000,N
버뮤다데님 팬츠,흑청,XL,21000,2,42000,N
버터조거 팬츠,크림베이지,XL,16000,1,16000,N
버터조거 팬츠,크림베이지,S,16000,1,16000,N
버터조거 팬츠,핑크베이지,S,16000,1,16000,N
버터 후드,크림베이지,XL,24000,1,24000,N
볼륨 블라우스,크림,S,24000,1,24000,N
숏 레깅스,검정,M,9000,2,18000,N
숏 레깅스,브라운,S,9000,1,9000,N
숏 레깅스,크림,S,9000,1,9000,N
아리 레깅스,검정,M,10000,1,10000,N
아리 레깅스,메란지,M,10000,1,10000,N
아리 레깅스,오트밀,M,10000,1,10000,N
아리 레깅스,오트밀,S,10000,1,10000,N
아리 레깅스,크림,S,10000,1,10000,N
아보카도 맨투맨,핑크,M,14000,1,14000,N
아일릿 팬츠,크림,M,16000,1,16000,N
아펠후드,아이보리,L,29000,1,29000,N
애플 맨투맨,곤색,XL,16000,1,16000,N
애플 맨투맨,메란지,M,16000,1,16000,N
애플 맨투맨,메란지,XL,16000,1,16000,N
애플 맨투맨,베이지,XL,16000,1,16000,N
와이드데님 팬츠,검정,S,24000,1,24000,N
와이드데님 팬츠,검정,XL,24000,3,72000,N
와이드데님 팬츠,블루,L,24000,1,24000,N
와이드데님 팬츠,블루,M,24000,2,48000,N
와이드데님 팬츠,블루,XL,24000,2,48000,N
카고 팬츠,베이지,XL,22000,3,66000,N
크롭하트 맨투맨,메란지,S,16000,1,16000,N
테리팬츠,오트밀,M,19000,2,38000,N
테리팬츠,오트밀,S,19000,1,19000,N
토이 집업,블루,L,24000,1,24000,N
토이 집업,블루,XXL,24000,1,24000,N
토이 집업,차콜,S,24000,1,24000,N
포켓 오버롤,먹색,S,31000,1,31000,N
포포 점퍼,브라운,L,32000,1,32000,N
포포 점퍼,연베이지,S,32000,1,32000,N
포포 점퍼,연베이지,M,32000,1,32000,N
폴 티셔츠,크림,XXL,9000,1,9000,N
