품명,색상,사이즈,단가,수량,금액,미송여부
케이블니트세트,브라운,L,17100,1,17100,N
베어클라바,카멜,F,5400,1,5400,N
베베체크리본세트,핑크베이지,L,19800,1,19800,N
와플니트가디건,차콜,M,12600,1,12600,N
베베양면패딩조끼,베이지,S,14400,2,28800,N
베베양면패딩조끼,베이지,M,14400,1,14400,N
24밴딩데님팬츠,청,M,10800,1,10800,N
니트투피스,레드,M,22500,1,22500,N
누빔원피스,,L,13500,1,13500,N
24기획곰돌이패딩,부라운,M,14400,1,14400,N
24기획곰돌이패딩,베이지,M,14400,1,14400,N
23누빔보넷세트,베이지,M,13500,1,13500,N
가디건세트,차콜,M,18900,1,18900,N
베베5종니삭스,A세트,M,6300,2,12600,N
베베5종니삭스,B세트,M,6300,1,6300,N
베베5종니삭스,C세트,M,6300,1,6300,N
M+ 에스닉니트가디건,브라운,S,15300,1,15300,Y
M+ 기획베어후리스자켓,베이지,M,12600,1,12600,Y
M+ 24누빔코트,,L,15300,1,15300,Y
M+ 누빔원피스,,M,13500,1,13500,Y
M+ 꽈베기상하세트,베이지,M,18000,1,18000,Y
M+ 24기획곰돌이패딩,부라운,L,14400,1,14400,Y
