품명,색상,사이즈,단가,수량,금액,미송여부
두툼니트set,크림,L,24000,1,24000,Y
두툼니트set,크림,XL,24000,1,24000,Y
들꽃자수cd,베이지,xL,20000,1,20000,N
따슘골덴pt,네이비,JS,22000,1,22000,N
따슘골덴pt,네이비,s,20000,1,20000,N
따슘골덴pt,핑크,s,20000,1,20000,N
따슘골덴pt,핑크,xL,20000,2,40000,N
라인레깅스,블랙,L,11000,1,11000,N
라인레깅스,핑크,L,11000,1,11000,N
모카폴라t,옐로,M,11000,1,11000,N
부클nt,핑크,JS,22000,1,22000,Y
비쵸비반다나,아이,FREE,11000,1,11000,N
비행기mtm,그레이,JM,20000,1,20000,N
비행기mtm,그레이,JS,20000,1,20000,N
비행기mtm,그레이,xL,18000,1,18000,N
뽀글이아노락(br),브라운,XL,24000,1,24000,Y
뽀글이아노락(br),브라운,JM,26000,1,26000,N
샌드보넷,브라운,FREE,10000,2,20000,N
샤앤샤sk,화이트,L,15000,1,15000,Y
스토리조끼패딩,아이,JS,36000,2,72000,Y
아벨로레깅스,베이지,M,11000,1,11000,N
아벨로레깅스,베이지,xL,11000,1,11000,N
아이콘조거pt,아이,M,16000,1,16000,Y
아이콘조거pt,아이,s,16000,1,16000,N
아이콘조거pt,차콜,s,16000,1,16000,N
애쉬꽃자수ops,브라운,L,29000,1,29000,N
잘자곰mtm,네이비,xL,19000,1,19000,N
잘자곰mtm,메란지,s,19000,1,19000,N
젤리니트폴라t,아이,M,12000,1,12000,N
캔들와플t,베이지,xL,17000,1,17000,N
캔들와플t,베이지,JM,19000,1,19000,N
코듀로이sk,아이,L,15000,1,15000,N
크림벨벳set,크림,L,23000,1,23000,N
크림벨벳set,크림,xL,23000,1,23000,Y
포켓퍼후드t,베이지,s,21000,1,21000,N
프린트조거pt,레드,JS,18000,1,18000,N
프린트조거pt,레드,JM,18000,1,18000,Y
프린트조거pt,레드,xL,16000,1,16000,N
프로그후드t,그린,JS,23000,1,23000,N
피넛바클,레드,FREE,11000,1,11000,Y
피넛바클,아이,FREE,11000,1,11000,Y
해리조거pt,네이비,JS,19000,1,19000,N
해리조거pt,브라운,JM,19000,1,19000,Y
해리조거pt,브라운,s,17000,1,17000,N
해리조거pt,브라운,xL,17000,1,17000,N
홈런볼보넷,베이지,FREE,11000,2,22000,Y
