품명,색상,사이즈,단가,수량,금액,미송여부
KIND 기모 맨투맨,베이지,18M,12000,1,12000,Y
KIND 기모맨투맨,오트밀,S,13000,1,13000,Y
겨울엠보팬츠,곰그레이,S,9000,1,9000,Y
겨울엠보팬츠,도트도트,S,9000,1,9000,N
겨울엠보팬츠,도트도트,18M,8000,1,8000,N
겨울엠보팬츠,블랙체크,12M,8000,1,8000,Y
귀음 귀달이 보넷(베베),베이지,FREE,9000,1,9000,Y
귀음 빵떡 슈트,베이지,12M,22000,1,22000,Y
날개 골지 기모티,베이지,12M,12000,1,12000,Y
날개 골지 기모티,베이지,18M,12000,1,12000,Y
날개 골지 기모티,크림,18M,12000,4,48000,Y
넬리꽃 프릴 블라우스,브라운꽃,18M,15000,1,15000,N
넬리꽃 프릴 블루머,브라운꽃,18M,13000,1,13000,N
니트 빵모자,인디핑크,FREE,7000,1,7000,N
덤블베스트,연베이지,S,28000,1,28000,N
덤블베스트,연베이지,18M,25000,1,25000,Y
레이스러플티,인디핑크,S,12000,1,12000,N
로멀 포켓팬츠,크림,S,15000,2,30000,Y
로멀포켓팬츠,크림,M,15000,1,15000,Y
로멀 포켓팬츠,크림,18M,14000,1,14000,Y
말랑 패딩 우주복,브라운체크,18M,32000,1,32000,N
말랑패딩 우주복,브라운체크,6M,32000,1,32000,N
말랑패딩 우주복,플라워,6M,32000,1,32000,N
멜로덤블 비니,카멜,FREE,8000,1,8000,Y
멜로덤블 자켓,카멜,S,26000,1,26000,Y
베베 모글퍼 자켓2,블랙,S,35000,2,70000,Y
베베 모글퍼 자켓2,연베이지,12M,32000,1,32000,Y
베베 모글퍼 자켓2,연베이지,18M,32000,2,64000,Y
몽글덤블 자켓,브라운,M,29000,1,29000,N
밍크레깅스,인디핑크,L,7000,1,7000,N
밍크퍼 케이프,인디핑크,FREE,9000,1,9000,Y
밍크퍼케이프,크림,FREE,9000,2,18000,Y
버터 기모 가디건,아이보리,S,14000,1,14000,Y
버터 기모 가디건,아이보리,18M,12000,1,12000,Y
버터 기모 팬츠,아이보리,18M,8000,1,8000,Y
베네 곰돌이 덤블 비니(베베),베이지,FREE,9000,1,9000,Y
베네 곰돌이 덤블 비니(베베),아이보리,FREE,9000,1,9000,Y
베네 곰돌이 덤블슈트,베이지,6M,21000,1,21000,Y
베네 곰돌이 덤블슈트,아이보리,12M,21000,1,21000,Y
베베 체크 패딩 슈트2,네이비체크,18M,27000,1,27000,N
베이직 골지 레깅스2,베이지,6M,5000,1,5000,N
베이직 골지레깅스2,브라운,S,6000,1,6000,N
베이직 골지 레깅스2,크림,12M,5000,1,5000,Y
부클 베어 비니2(베베),브라운,FREE,9000,1,9000,Y
스트라이프 레깅스2,블럭,6M,8000,1,8000,N
마론 멜빵슈트,데님블루,12M,24000,1,24000,Y
마론멜빵슈트,데님블루,6M,24000,1,24000,N
마론멜빵슈트,크림,18M,24000,1,24000,Y
아론멜빵팬츠,크림,M,23000,1,23000,N
와플 둥카티,크림,12m,9000,1,9000,Y
울베레모,블럭,FREE,10000,1,10000,Y
윈터치노팬츠,브라운,S,12000,1,12000,N
윈터치노팬츠,브라운,M,12000,1,12000,N
코어 니트 가디건,베이지,2호,25000,1,25000,N
코어니트가디건,브라운,2호,25000,1,25000,N
코어 니트멜빵,베이지,2호,25000,1,25000,N
쿠우멜빵슈트,덤블아이보리,6M,23000,1,23000,N
티라미수 기모 맨투맨,브라운,18M,11000,1,11000,Y
팝콘후드베스트,멜란그레이,18M,13000,1,13000,Y
팝콘후드베스트,아이보리,M,15000,1,15000,N
페리본헤어밴드,핑크베이지,FREE,7000,1,7000,Y
KIND 포켓 팬츠,오트밀,S,10000,1,10000,Y
피치체크 셔츠,브라운체크,S,17000,1,17000,Y
피치체크 팬츠,브라운체크,S,13000,1,13000,Y
하로이 벨로아 멜빵,아이보리,18M,10000,1,10000,Y
하로이 벨로마멜빵,인디핑크,12M,10000,2,20000,Y
하이디후드 망토,베이지,FREE,18000,1,18000,N
하임 군밤 모자,크림,FREE,12000,2,24000,Y
하임패딩 베스트,크림,M,23000,1,23000,N
하임패딩베스트,크림,6M,20000,1,20000,N
후리스덤블 아노락,민트,S,17000,1,17000,Y
후리스덤블 아노락,민트,12M,15000,1,15000,Y
후리스 덤블 아노락,민트,18M,15000,1,15000,Y
후리스덤블 아노락,민트,6M,15000,1,15000,N
후리스 덤블 아노락,아이보리,12M,15000,1,15000,Y
후리스덤블 아노락,아이보리,6M,15000,1,15000,Y
후리스덤블 조거팬츠,민트,S,11000,1,11000,N
후리스 덤블조거팬츠,아이보리,18M,9000,1,9000,Y
