품명,색상,사이즈,단가,수량,금액,미송여부
10수코튼멜빵,블랙,XS,23000,1,23000,Y
st니트조끼,메란지,S,15000,1,15000,Y
st니트조끼,메란지,L,15000,1,15000,Y
st니트조끼,블랙,XS,15000,1,15000,Y
st니트조끼,블랙,L,15000,1,15000,Y
24가을/st두줄랍빠티,먹색,M,13000,2,26000,Y
24가을/st두줄랍빠티,먹색,XL,13000,1,13000,Y
24가을/st두줄랍빠티,크림,12M,13000,1,13000,Y
24가을/st두줄랍빠티,크림,XS,13000,2,26000,Y
24가을/st두출랍빠티,크림,L,13000,1,13000,Y
st모먼트티,블랙,12M,9000,1,9000,N
st모먼트티,블랙,S,9000,1,9000,Y
st모먼트티,블랙,L,9000,1,9000,Y
st모먼트티,블랙,XL,9000,7,9000,Y
st아가타팬츠,그린,M,10000,1,10000,N
st아가타팬츠,그린,L,10000,1,10000,N
st투톤티,네이비,XS,8000,1,8000,Y
st투톤티,네이비,M,8000,1,8000,Y
st투톤티,네이비,L,8000,1,8000,Y
st투톤티,아이,12M,8000,2,16000,Y
st투톤티,아이,M,8000,1,8000,Y
골덴5부반바지,노랑,L,9000,1,9000,N
골덴5부반바지,노랑,S,9000,2,18000,N
골덴5부반바지,노랑,XL,9000,1,9000,N
골덴5부반바지,노랑,XS,9000,1,9000,Y
골덴5부반바지,브라운,12M,9000,2,18000,Y
골덴5부반바지,브라운,M,9000,1,9000,N
골덴5부반바지,브라운,S,9000,1,9000,N
골덴5부반바지,브라운,XS,9000,2,18000,Y
골덴5부반바지,핑크,L,9000,1,9000,Y
골덴5부반바지,핑크,M,9000,2,18000,N
골덴5부반바지,핑크,S,9000,3,27000,N
골덴5부반바지,핑크,XL,9000,1,9000,N
골덴5부반바지,핑크,XS,9000,3,27000,Y
24가을/골덴멜빵팬츠,브라운,L,18000,1,18000,N
24가을/골덴멜빵팬츠,브라운,XS,18000,2,36000,Y
24가을/골덴멜빵팬츠,크림,M,18000,3,54000,Y
24가을/골덴멜빵팬츠,핑크,M,18000,1,18000,Y
24가을/골덴멜빵팬츠,핑크,S,18000,5,90000,Y
24가을/골덴멜빵팬츠,핑크,XS,18000,4,72000,Y
24가을/골지레깅스,메란지,L,7000,1,7000,N
24가을/골지레깅스,모카,L,7000,1,7000,N
24가을/골지레깅스,블랙,XS,7000,1,7000,Y
24가을/골지레깅스,오트밀,L,7000,1,7000,Y
24가을/골지레깅스,오트밀,XS,7000,1,7000,Y
24가을/골지레깅스,크림,L,7000,1,7000,N
24가을/골지레깅스,크림,M,7000,1,7000,N
24가을/골지레깅스,크림,S,7000,1,7000,Y
24가을/골지레깅스,크림,XS,7000,1,7000,Y
24가을/골지레깅스,핑크,L,7000,1,7000,N
24가을/골지레깅스,핑크,M,7000,1,7000,N
24가을/골지레깅스,핑크,S,7000,1,7000,N
24가을/골지레깅스,핑크,XS,7000,1,7000,N
24가을/나그랑가이티,블랙,M,9000,4,36000,Y
24가을/나그랑가이티,블랙,S,9000,5,45000,Y
24가을/나그랑가이티,블랙,XS,9000,6,54000,Y
24가을/나그랑가이티,연블루,M,9000,2,18000,N
24가을/나그랑가이티,연블루,S,9000,1,9000,Y
나그랑빵줄MTM,블루,M,14000,1,14000,Y
나그랑삥줄MTM,쿠림,S,14000,1,14000,N
나그랑삥줄MTM,코림,XS,14000,2,28000,N
24가을/댕깡카라티,블루/네이비,L,16000,1,16000,Y
24가을/댕깡카라티,블루/네이비,S,16000,1,16000,Y
24가을/댕깡카라티,블루/네이비,XS,16000,1,16000,Y
24가을/댕깡카라티,크림/먹색,L,16000,2,32000,N
24가을/랍빠티레깅스셋,블랙,S,16000,1,16000,Y
24가을/랍빠티레깅스셋,크림,12M,16000,2,32000,N
몬터레이MTM,레드,S,12000,1,12000,Y
몬터레이MTM,레드,L,12000,1,12000,Y
바스켓베어맨투맨,백메란지(베어),M,13000,2,26000,Y
바스켓베어맨투맨,백메란지(베어),S,13000,3,39000,Y
바스켓베어맨투맨,백메란지(베어),XL,13000,1,13000,Y
바스켓베어맨투맨,백메란지(베어),XS,13000,2,26000,Y
바스켓베어맨투맨,아이(바스켓),12M,13000,1,13000,Y
바스켓베어맨투맨,아이(바스켓),M,13000,3,39000,Y
바스켓베어맨투맨,아이(바스켓),S,13000,1,13000,Y
바스켓베어맨투맨,아이(바스켓),XS,13000,3,39000,Y
바이오체커팬츠,카키,M,11000,2,22000,Y
바이오체커팬츠,카키,XL,11000,1,11000,Y
반반보니토후드집업,블랙,XL,21000,1,21000,Y
반반보니토후드집업,오트밀,L,21000,1,21000,Y
반반보니토후드집업,오트밀,M,21000,1,21000,N
반반보니토후드집업,오트밀,XS,21000,1,21000,N
벨로아집업셋,딥블루,L,25000,1,25000,N
벨로아집업셋,딥블루,XS,25000,1,25000,Y
24가을/보니토데님자켓,중청,L,29000,1,29000,Y
24가을/보니토데님자켓,중청,M,29000,3,87000,Y
24가을/보니토배색JP,블랙/메란지,L,21000,1,21000,Y
24가을/보니토배색JP,블랙/메란지,S,21000,1,21000,Y
24가을/보니토배색JP,블랙/메란지,XL,21000,2,42000,Y
보니토펠트맨투맨,크림,S,13000,1,13000,N
보니토펠트맨투맨,블랙,S,13000,1,13000,Y
보니토호일맨투맨,책,M,13000,1,13000,Y
보니토호일맨투맨,택,S,13000,3,39000,Y
보니토호일맨투맨(맘),블랙,FREE,23000,1,23000,Y
뽀빠이맨투맨,딥블루,XS,12000,1,12000,N
쉐난도맨투맨,네이비,L,12000,1,12000,N
쉐난도맨투맨,네이비,S,12000,1,12000,Y
쉐난도맨투맨,백메란지,L,12000,1,12000,Y
쉐난도맨투맨,백메란지,M,12000,3,36000,Y
24가을/스탠다드맨투맨,그린,L,13000,1,13000,Y
24가을/스탠다드맨투맨,그린,M,13000,1,13000,Y
24가을/스탠다드맨투맨,브라운,S,13000,1,13000,Y
썬데이샤틴MTM,오트밀,S,13000,1,13000,Y
썬데이샤틴MTM,백메란지,L,13000,2,26000,N
썬데이샤틴MTM,백메란지,XL,13000,1,13000,N
썬데이샤틴MTM,백메란지,XS,13000,1,13000,N
아노락후드,네이비,XL,20000,1,20000,Y
아노락후드,크림,L,20000,1,20000,Y
아노락후드,크림,M,20000,1,20000,Y
아노락후드,크림,S,20000,1,20000,Y
아노락후드,크림,XS,20000,1,20000,Y
어번던스MTM,노랑,12M,12000,1,12000,Y
어번던스MTM,노랑,L,12000,1,12000,Y
어번던스MTM,브라운,M,12000,1,12000,N
어번던스MTM,브라운,XL,12000,2,24000,Y
24가을/어텀치노팬츠,브라운,L,10000,1,10000,N
24가을/어텀치노팬츠,브라운,M,10000,3,30000,N
24가을/어텀치노팬츠,브라운,S,10000,2,20000,N
24가을/어텀치노팬츠,브라운,XS,10000,1,10000,N
24가을/어텀치노팬츠,블랙,12M,10000,1,10000,N
24가을/어텀치노팬츠,블랙,M,10000,7,70000,N
24가을/어텀치노팬츠,블랙,S,10000,4,40000,Y
24가을/어텀치노팬츠,블랙,XL,10000,2,20000,Y
24가을/어텀치노팬츠,블랙,XS,10000,2,20000,Y
24가을/어텀치노팬츠,코림,12M,10000,2,20000,Y
24가을/어텀치노팬츠,코림,L,10000,3,30000,Y
24가을/어텀치노팬츠,코림,M,10000,10,100000,Y
24가을/어텀치노팬츠,코림,S,10000,6,60000,Y
24가을/어텀치노팬츠,코림,XS,10000,6,60000,Y
24가을/어텀치노팬츠,핑크,L,10000,3,30000,N
24가을/어텀치노팬츠,핑크,M,10000,1,10000,Y
24가을/어텀치노팬츠,핑크,S,10000,1,10000,N
24가을/어텀치노팬츠,핑크,XS,10000,1,10000,N
에브리맨투맨,아이,XS,12000,1,12000,Y
에브리맨투맨,찜크,12M,12000,1,12000,Y
에브리맨투맨,찜크,M,12000,3,36000,Y
오리지날절개,NATM비A,,13000,2,26000,Y
오리지날절개,NATAIUM,,13000,1,13000,Y
오리지날절개,NITM,,13000,1,13000,Y
올림피아후드티,블랙,M,20000,2,40000,Y
올림피아후드티,블랙,S,20000,3,60000,Y
