품명,색상,사이즈,단가,수량,금액,미송여부
24가을패턴고쟁이,체크,5(S),8000,3,24000,N
24골덴나염조거,검정도트,9(L),8000,1,8000,N
24골덴나염조거,검정도트,7(M),8000,2,16000,N
24데일리고쟁이,검정,7(M),6000,4,24000,N
24데일리고쟁이,메란지,7(M),6000,1,6000,N
24데일리고쟁이,메란지,9(L),6000,1,6000,N
24데일리고쟁이,메란지,7(M),6000,1,6000,N
24데일리고쟁이,메란지,3(XS),6000,1,6000,N
24데일리고쟁이,백메란지,7(M),6000,2,12000,N
24데일리고쟁이,백메란지,3(XS),6000,1,6000,N
24데일리고쟁이,베이지,7(M),6000,1,6000,N
24데일리고쟁이,오트밀,15(JM),7000,1,7000,N
24데일리고쟁이,진회색,7(M),6000,1,6000,N
24큰단가라맨투맨,검정,9(L),9000,1,9000,N
24큰단가라맨투맨,검정,7(M),9000,2,18000,N
24큰단가라맨투맨,블루밤색,9(L),9000,1,9000,N
24큰단가라맨투맨,카키핑크,9(L),9000,1,9000,N
24큰단가라맨투맨,카키핑크,7(M),9000,1,9000,N
24큰단가라맨투맨,핑크,7(M),9000,1,9000,N
39자수조끼상하,베이지,130S),18500,1,18500,N
39자수조끼상하,베이지,11(XL),16500,1,16500,N
P자수맨투맨,네이비,5(S),10000,1,10000,N
가을단가라조거,크림검정줄,11(XL),7500,1,7500,N
가을레이어드긴팔,검정,5(S),4500,2,9000,N
가을레이어드긴팔,아이보리,11(XL),4500,1,4500,N
가을레이어드긴팔,크림,11(XL),4500,1,4500,N
가을반팔레이어드,검정,11(XL),4500,1,4500,N
가을반팔레이어드,아이보리,11(XL),4500,1,4500,N
가을청팬츠,진청,13(JS),16500,1,16500,N
가을청팬츠,진청,7(M),14500,1,14500,N
가을카고조거,검정,9(L),8000,2,16000,N
가을카고조거,검정,5(S),8000,2,16000,N
가을카고조거,메란지,13(JS),9000,1,9000,N
가을포켓반바지,소라,7(M),7500,1,7500,N
가이롭바상하,검정,5(S),13500,2,27000,N
가이롭바상하,메란지,9(L),13500,1,13500,N
가이롭바상하,메란지,5(S),13500,1,13500,N
가이롭바상하,메란지,11(XL),13500,1,13500,N
가이롭바상하,메란지,5(S),13500,1,13500,N
가이롭바상하,크림,11(XL),13500,2,27000,N
가이롭바상하,크림,3(XS),13500,2,27000,N
골뎅자수조거,베이지,5(S),10000,1,10000,N
골지나팔바지,크림,3(XS),6000,1,6000,N
곰곰졸줄상하,민트,9(L),17500,1,17500,N
곰곰졸출상하,베이지,5(S),17500,1,17500,N
곰나그랑원피스,핑크,11(XL),10000,1,10000,N
곰자수카라상하,메란지,9(L),15500,1,15500,N
곰자수카라상하,메란지,7(M),15500,2,31000,N
곰자수카라상하,오트밀,9(L),15500,1,15500,N
곰자수카라상하,핑크,9(L),15500,1,15500,N
곰자수후드집업,검정,11(XL),15000,1,15000,N
곰자수후드집업,메란지,9(L),15000,1,15000,N
곰자수후드집업,오트밀,11(XL),15000,1,15000,N
곰책책상하,빨강,11(XL),11500,1,11500,N
곰프렌즈맨투맨,밤색,7(M),10000,1,10000,N
공주프릴바지,핑크,15(JM),7000,1,7000,N
날라리골지티,검정,7(M),5500,1,5500,N
뉴욕바스락조거,핑크,9(L),7000,1,7000,N
단가라티,검정,13(JS),7000,1,7000,N
단가라티,검정,9(L),6000,1,6000,N
단가라티,베이지,9(L),6000,1,6000,N
단가라티,베이지,3(XS),6000,1,6000,N
데님나팔바지,연청,11(XL),7000,1,7000,N
데일리가디건,검정,5(S),13000,1,13000,N
데일리날라리티,핑크,3(XS),6000,1,6000,N
데일리치랭스,메란지,7(M),7000,1,7000,N
라이스맨투맨,브라운,13(JS),9000,1,9000,N
럭비공맨투맨,메란지,11(XL),8500,1,8500,N
