품명,색상,사이즈,단가,수량,금액,미송여부
네추럴타이즈,겨자,m,9000,1,9000,N
네추럴타이즈,네이비,m,9000,1,9000,N
네추럴타이즈,레드,m,9000,2,18000,N
데님팜큐롯,데님,1,26000,1,26000,Y
델리플리츠sk,다크브라운,xs,26000,1,26000,N
레이스삭스,와인,s,6000,1,6000,N
레이스삭스,화이트,s,6000,1,6000,N
버뮤다버튼pt,크림베이지,s,24000,1,24000,N
세일러숄,네이비,,16000,1,16000,Y
스웨이t,민트,m,14000,1,14000,Y
스웨이t,크림,m,14000,1,14000,Y
올드프릴t,크림,1,16000,1,16000,Y
울튤립원피스,카멜,xs,47000,1,47000,N
울헨리라운드,레드,I,37000,1,37000,Y
울헨리라운드,레드,m,37000,2,74000,Y
울헨리라운드,차콜,I,37000,1,37000,Y
울헨리라운드,카멜,s,37000,1,37000,N
윈드원피스,소라,s,37000,1,37000,N
컬리pl,베이지,m,14000,1,14000,Y
케미p,겨자,s,9000,1,9000,N
케미p,브릭,m,9000,1,9000,Y
케미p,브릭,s,9000,1,9000,Y
케미p,블랙,m,9000,1,9000,N
클로이가디건,차콜,I,38000,1,38000,Y
클로이가디건,핑크,I,38000,1,38000,N
트리플타이즈,버터베이지,m,13000,1,13000,N
트리플타이즈,차콜,m,13000,1,13000,N
펌킨샤sk,핑크베이지,1,33000,1,33000,N
포시룸퍼,그린,xs,26000,1,26000,Y
플레이팬츠,카멜브라운,m,24000,1,24000,Y
피그립t,연베이지,m,12000,1,12000,N
