품명,색상,사이즈,단가,수량,금액,미송여부
기획)구름아노락상하set,브라운,S,15000,1,15000,Y
기획)구름아노락상하set,크림,XS,15000,1,15000,Y
기획)구름아노락상하set,크림,S,15000,1,15000,Y
기획)퐁당퐁당상하복,네이비,XS,14000,1,14000,Y
기획)퐁당퐁당상하복,네이비,S,14000,1,14000,Y
기획)퐁당퐁당상하복,베이지,XS,14000,2,28000,Y
기획)구름아노락상하set,브라운,S,15000,1,15000,Y
기획)구름아노락상하set,옐로우,XS,15000,1,15000,Y
단추골덴캡,머스타드,48-50,13000,1,13000,N
메리멜빵,베이지,,7000,1,7000,N
메리멜빵,네이비+레드st,,8000,1,8000,N
뽀뽀곰모자,크림,F,15000,1,15000,N
기획)퐁당퐁당상하복,베이지,M,14000,1,14000,Y
기획)퐁당퐁당상하복,네이비,M,14000,2,28000,Y
기획)퐁당퐁당상하복,백메란지,XS,14000,1,14000,Y
기획)퐁당퐁당상하복,베이지,XS,14000,2,28000,Y
