품명,색상,사이즈,단가,수량,금액,미송여부
단무지목폴라set,민트,L,13000,1,13000,Y
러브하트상하,핑크,L,17000,1,17000,N
머플티,와인,L,17000,1,17000,N
머플티,와인,XL,17000,1,17000,N
머플티,차콜,2XL,17000,1,17000,N
페리고수면조끼,스카이블루,BM,10000,1,10000,Y
메리고수면조끼,옐로우,BM,10000,1,10000,Y
메리고실내복,아이보리,S,13000,1,13000,Y
무스탕조끼,브라운,L,19000,1,19000,Y
보글보글조끼상하,크림,S,21000,2,42000,Y
보글보글조끼상하,크림,L,21000,1,21000,N
뽀송이바지,크림,S,14000,1,14000,N
뽀송이자켓,핑크,S,23000,1,23000,N
스벅슈트,카키,BM,20000,1,20000,N
업타운상하,레드,S,18000,1,18000,N
코듀로이버뮤다바지,네이비,L,10000,1,10000,Y
코듀로이버뮤다바지,아이보리,S,10000,1,10000,N
퍼니먼투맨,카키,L,12000,1,12000,N
누빔방울비니,진베이지,FREE,7000,1,7000,Y
누빔방한모,베이지,FREE,8000,1,8000,Y
누빔베어귀달이,베이지,FREE,8000,1,8000,Y
누빔베어캡,브라운,FREE,7000,1,7000,Y
누빔베이캡,아이보리,FREE,7000,1,7000,Y
니트바라클라바,그레이,FREE,8000,1,8000,Y
퀼팅버킷햇,아이보리,FREE,8000,1,8000,Y
명명이,5pic,3,7000,1,7000,N
러빙,5pic,5,7500,1,7500,N
로마,5pic,2,8000,1,8000,N
베를린,5pic,1,7500,1,7500,N
베를린,5pic,3,7500,2,15000,N
베를린,5pic,5,7500,2,15000,N
수면양말,5pic,2,10000,1,10000,N
커스텀,5pic,3,8000,1,8000,N
