품명,색상,사이즈,단가,수량,금액,미송여부
레오테잎져지,핑크,JS,28000,2,56000,N
슈팅스타후드티,검정,JL,21000,1,21000,N
슈팅스타후드티,핑크,JM,21000,1,21000,N
슈팅스타후드티,핑크,XL,19000,1,19000,N
알파카버클스커트,머스타트,JS,20000,1,20000,N
알파카버클스커트,소라,JL,20000,1,20000,N
엔젤벨벳폴라티,핑크,JS,14000,1,14000,N
치치호피스커트,브라운,L,25000,1,25000,N
케이블물가디건,베이지,JS,27000,1,27000,N
케이블울가디건,메란지,JL,27000,1,27000,N
테이크벨로아집업,네이비,JM,35000,3,105000,Y
테이크조거팬츠,네이비,JM,22000,1,22000,N
테이크캉캉스커트,네이비,JM,24000,2,48000,N
파운드골덴청바지,데님,L,30000,1,30000,N
파운드골덴청바지,데님,JXL,34000,1,34000,N
하니밴딩맨투맨,네이비,JXL,20000,1,20000,N
호피붑맨투맨,베이지,JXL,15000,1,15000,N
