품명,색상,사이즈,단가,수량,금액,미송여부
24귀여움가득오버올세트(티+오버졸),퍼플,S,20000,1,20000,N
24각설탕카라상하세트,베이지,M,19000,1,19000,N
24루이스벨벳원피스,블랙,XL,34000,1,34000,N
24루이스헤어밴드,블랙,FREE,12000,1,12000,Y
24마망잔꽃배색슈트,도트,M,22000,1,22000,N
24베라왕샤슈트,블랙,M,28000,1,28000,Y
24곰돌이베이직티셔츠,베이지,L,7000,1,7000,N
24블랑쉐샤슈트,베이지,S,42000,1,42000,Y
24샤랄라레이스앞치마,크림,FREE,10000,1,10000,N
24순수하트퀼팅원피스,크림,M,40000,1,40000,Y
24신축성좋은골지몰인원슈트,모카,M,18000,1,18000,N
24포그니리버시블패딩조끼,차클,M,24000,1,24000,N
24하리보니트골지가디건,블랙,M,12000,2,24000,Y
AI_RetryError: Failed after 3 attempts. Last error: Rate limit reached for gpt-4o in organization org-4fEiKFK8qGjGkUFez6xUGcRq on tokens per min (TPM): Limit 30000, Used 29257, Requested 1129. Please try again in 772ms. Visit https://platform.openai.com/account/rate-limits to learn more.
