품명,색상,사이즈,단가,수량,금액,미송여부
소프티수면조끼,블루,M,16000,1,16000,N
킨더버니햇,라떼베이지,토끼,13000,1,13000,N
킨더버니햇,파우더핑크,토끼,13000,1,13000,Y
킨더베어햇,던블루,곰,12000,1,12000,Y
킨더베어햇,라떼베이지,곰,12000,6,72000,Y
킨더베어햇,밀크,곰,12000,2,24000,Y
킨더베어햇,버터엘로우,곰,12000,1,12000,Y
킨더베어햇,파우더핑크,곰,12000,1,12000,Y
킨더베이비슈트,던블루,슈트M,26000,1,26000,Y
킨더베이비슈트,라페베이지,슈트M,26000,4,104000,N
킨더베이비슈트,라페베이지,슈트S,26000,3,78000,N
킨더베이비슈트,밀크,슈트L,26000,1,26000,N
킨더베이비슈트,밀크,슈트M,26000,1,26000,N
킨더베이비슈트,버터엘로우,슈트L,26000,1,26000,N
킨더베이비슈트,파우더핑크,슈트L,26000,1,26000,N
킨더베이비슈트,파우더핑크,슈트S,26000,1,26000,N
킨더블랭킷,네이비스타,담요,15000,1,15000,N
킨더토글조끼,네이비스타,M,15000,1,15000,N
킨더팬츠,라떼베이지,M,14000,1,14000,N
텐더토이점퍼,블루,S,40000,1,40000,N
텐더토이햇,블루,one size,18000,1,18000,N
