품명,색상,사이즈,단가,수량,금액,미송여부
공룡맨투맨,블루,L,10000,1,10000,Y
공룡맨투맨,아이보리,XL,10000,1,10000,Y
공룡맨투맨,브라운,L,10000,1,10000,N
까멜리아티,브라운,L,8000,1,8000,N
까멜리아티,아이보리,l,8000,3,24000,N
까멜리아레깅스,,V공,8000,1,8000,Y
니트베레,P/S/FREE,8000,1,8000,N
니트베레,,S,8000,1,8000,N
니트카라티,베이지,M,22000,1,22000,N
니트베스트,아이보리,S,18000,1,18000,N
니트베스트,베이지,L,18000,1,18000,N
니트케이프티,베이지,L,24000,1,24000,N
니트팬츠,아이보리,S,18000,1,18000,N
둥근카라티,검정,M,10000,1,10000,N
둥근카라티,아이보리,L,10000,1,10000,N
리본핀,베이지,FREE,2000,1,2000,N
리본바지,핑크리본,L,10000,1,10000,N
릴리팬츠,브라운,L,12000,2,24000,Y
마이맨투맨,블루버드,XL,10000,1,10000,Y
마이맨투맨,그레이트어너지,,10000,1,10000,Y
마이맨투맨,아이코끼리,M,10000,1,10000,N
마이맨투맨,아이검정레빗,2XL,10000,1,10000,N
마이맨투맨,핑크하트,2XL,10000,1,10000,N
마이맨투맨,아이리본,L,10000,1,10000,N
마이팬츠,아이검정레빗,2XL,10000,1,10000,N
마이팬츠,아이코끼리,M,10000,1,10000,N
무당벌레맨투맨,,ML,10000,1,10000,N
무당벌레맨투맨,아이보리,ML,10000,1,10000,Y
보들보들티,아이보리,M,20000,1,20000,N
보들보들티,아이보리,,10000,1,10000,N
보들보들티,핑크,M,10000,1,10000,N
보들보들티,핑크,L,10000,1,10000,N
보들보들티,핑크,2XL,10000,1,10000,N
봉봉바지,딸기,M,8000,1,8000,N
봉봉바지,꽃브라운,M,8000,1,8000,Y
봉봉바지,꽃브라운,L,8000,2,16000,Y
봉봉바지,꽃브라운,XL,8000,1,8000,N
봉봉바지,나뭇잎브라운,L,8000,1,8000,N
봉봉바지,나뭇잎브라운,XL,8000,1,8000,N
봉봉바지,아이보리,L,8000,1,8000,N
봉봉바지,블루체크,XL,8000,1,8000,N
봉봉BL,꽃브라운,L,19000,1,19000,Y
봉봉BL,아이보리,L,19000,1,19000,N
스무스레깅스,검정,M,24000,1,24000,Y
스무스레깅스,브라운,M,8000,1,8000,Y
스무스레깅스,아이보리,S,8000,1,8000,Y
시그니처티,핑크/아이,M,8000,1,8000,N
시그니처티,핑크/아이,L,8000,1,8000,N
시그니처티,핑크/아이,XL,8000,1,8000,N
시그니처티,베이지/블루,M,8000,1,8000,Y
시그니처티,베이지/블루,L,8000,1,8000,Y
시그니처티,,F,8000,1,8000,Y
시그니처티,블랙/아이,M,8000,1,8000,Y
시그니처티,블랙/아이,L,8000,1,8000,Y
시그니처티,블랙/아이,XL,8000,1,8000,Y
시그니처티,,아이,,16000,2,16000,Y
시그니처티,베이지/그린,L,16000,2,32000,Y
안젤라맨투맨,,VV,12000,1,12000,Y
안젤라맨투맨,블루,,12000,2,24000,N
안젤라팬츠,,VVV,12000,3,36000,Y
안젤라팬츠,블루,M,12000,1,12000,N
안젤라팬츠,핑크,L,12000,1,12000,N
에센셜티,아이보리,S,8000,1,8000,Y
에센셜티,아이보리,M,8000,1,8000,Y
에센셜티,아이보리,XL,8000,1,8000,N
올리비아BL,브라운동,,19000,1,19000,Y
젤리맨투맨,브라운,L,11000,1,11000,N
젤리바지,아이보리,M,5000,5,25000,N
젤리바지,아이보리,L,5000,1,5000,N
젤리바지,아이보리,XL,5000,1,5000,N
젤리바지,브라운,M,5000,3,15000,N
젤리바지,브라운,L,5000,2,10000,N
젤리바지,브라운,XL,5000,2,10000,N
젤리바지,핑크,M,5000,1,5000,N
젤리바지,검정,M,5000,1,5000,N
젤리바지,검정,L,5000,8,40000,N
조거맨투맨,아이보리,M,8000,1,8000,Y
조거팬츠,,VVV,8000,1,8000,Y
조거팬츠,블루,M,8000,1,8000,Y
조거팬츠,검정,M,8000,1,8000,N
조거팬츠,검정,L,8000,2,16000,Y
쫀득레깅스,아이보리,M,6000,2,12000,N
쫀득레깅스,,VV,6000,1,6000,Y
쫀득레깅스,베이지,M,6000,1,6000,Y
쫀득레깅스,베이지,L,6000,1,6000,Y
쫀득레깅스,베이지,XL,6000,1,6000,N
쫀득레깅스,핑크,M,6000,1,6000,N
쫀득레깅스,블루,M,6000,1,6000,N
쫀득레깅스,블루,XL,6000,1,6000,N
쫀득레깅스,블루,2XL,6000,1,6000,N
쫀득레깅스,검정,L,6000,1,6000,N
체크레깅스,핑크체크,XL,8000,1,8000,N
치노바지,검정,,8000,5,40000,Y
치노바지,검정,,8000,2,16000,Y
치노바지,꽃,M,8000,1,8000,Y
치노바지,꽃,L,8000,2,16000,Y
치노바지,꽃,XL,8000,2,16000,Y
치노바지,핑크,,8000,3,24000,Y
치노바지,핑크리본,XL,8000,1,8000,Y
치노바지,베이지 체크,L,8000,2,16000,Y
치노바지,블루 체크,M,8000,1,8000,Y
치노바지,무당,,8000,1,8000,Y
치노바지,L,,,8000,1,8000,Y
치마바지,아이보,,10000,2,20000,Y
클래식핑크,L,VVV,12000,1,12000,Y
클래식카라티,오브림,VXL,12000,2,24000,N
클래식팬츠,핑크,L,10000,1,10000,N
클래식팬츠,오트림,XL,10000,1,10000,Y
클래식레깅스,브라운,M,7000,1,7000,N
클래식레깅스,아이보리,L,7000,1,7000,N
클래식레깅스,,VV,,7000,1,7000,Y
클래식레깅스,검정도,,7000,1,7000,Y
