제품명,색상,사이즈,단가,수량,금액,미송여부
네모골덴가방(키즈),초코,F,13000,1,13000,N
니트보다니트티,밤색,S,12000,1,12000,N
니트보다니트티,밤색,M,12000,1,12000,N
니트보다니트티,베이지,XS,12000,1,12000,N
니트보다니트티,베이지,S,12000,1,12000,N
조끼따뜻한누빔베스트,베이지,S,24000,1,24000,Y
런던트렌치코트,베이지,S,47000,1,47000,Y
리본타이스커트,카키꽃,M,27000,1,27000,N
메이플퀼팅점퍼,꽃,XL,34000,1,34000,N
모찌스판티,베이지,XL,12000,1,12000,N
모찌스판티,핑크,M,12000,1,12000,N
목이편한스판폴라24,모카,S,12000,1,12000,N
목이편한스판폴라24,오트밀,S,12000,1,12000,N
보드라운골덴팬츠,초코,M,22000,1,22000,N
봉봉누빔점퍼F24,베이지,L,32000,1,32000,Y
소매핏이예쁜MTM,핑크,M,16000,1,16000,N
스판이좋은골덴반바지,진밤,L,20000,1,20000,N
