제품명,색상,사이즈,단가,수량,금액,미송여부
곰돌양말,5종혼합,5호,8000,1,8000,N
알파벳양말,7종혼합,6호,10000,1,10000,Y
기획스트링캡,곤색,S,12000,1,12000,N
기획골덴캡,밤색,S,13000,1,13000,Y
기획골덴캡,보라,S,13000,1,13000,N
페이즐리스카프,흰색,FREE,4000,1,4000,N
토이버킷햇,블랙,S,12000,1,12000,N
토미청벙거지,면청,S,14000,1,14000,N
토이골덴캡,보라,S,13000,1,13000,N
토미골덴캡,크림,S,13000,1,13000,N
기획무지티,흰색,XS,8000,1,8000,Y
이선세트,흰색,XS,23000,1,23000,N
포멀슬랙스,베이지,XS,16000,1,16000,N
포멀슬랙스,블랙,XS,16000,1,16000,N
올림세트,블루,XL,13000,1,13000,N
또리셋(기획),오트밀,M,13000,1,13000,N
이선세트,흰색,M,23000,1,23000,N
기획무지티,곤색,S,8000,1,8000,N
기획무지티,흰색,S,8000,1,8000,Y
토미데일리후드,검정,XS,14000,1,14000,N
토이맨투맨,민트카키,XS,10000,1,10000,N
토미사각조끼,크림,XS,18000,1,18000,N
토미데일리후드,크림,S,14000,1,14000,N
토이무지티,흰색,S,8000,1,8000,N
토이셔츠JK,파랑,S,17000,1,17000,N
토미옥스남방,살구,S,16000,1,16000,N
토미옥스남방,흰색,M,16000,1,16000,N
토미스판치노,카키,S,14000,1,14000,N
