품명,색상,사이즈,단가,수량,금액,미송여부
볼캡,검정,F,14000,1,14000,N
가든삭스,차콜,F,5000,1,5000,N
기쁨레깅스,먹색,M,8000,1,8000,N
단풍조끼,크림,F,34000,1,34000,N
댄스토이티,아이,JM,15000,1,15000,N
데이지티,오트,M,13000,1,13000,N
데이지티,오트,F,19000,1,19000,N
드럼맨투맨,연핑,L,15000,1,15000,N
보조개스커트,아이,XS,18000,1,18000,N
보조개스커트,체크,XL,18000,1,18000,N
보조개스커트,체크,M,18000,1,18000,N
블랜딩팬츠,인핑크,L,19000,1,19000,N
블랜딩팬츠,인핑크,XL,19000,1,19000,N
뽀또바지,차콜,L,16000,1,16000,N
샘단가라티,레드,XS,12000,1,12000,N
아코디언바지,그레이,L,16000,1,16000,N
우당탕반집업,먹색,L,18000,1,18000,N
(기획)유니폼세트,메란,L,18000,1,18000,N
챔프카라티,밤색,L,17000,1,17000,N
탐험대멜빵,인핑,M,29000,1,29000,N
튼튼맨투맨,메란,L,15000,1,15000,N
튼튼맨투맨,오트,F,23000,1,23000,N
퍼핀가디건,차콜,F,23000,1,23000,N
