품명,색상,사이즈,단가,수량,금액,미송여부
10수코튼열빵,블랙,,23000,1,23000,Y
st니트조끼,메란,,15000,2,30000,Y
st니트조끼,블랙,L,15000,1,15000,Y
st두줄랍빠,,2,13000,2,26000,Y
st두줄랍빠,먹색,XL,13000,1,13000,Y
st두줄랍빠,크림,12M,13000,1,13000,Y
st두줄람빠,크림,XS,13000,1,13000,Y
st모먼트티,블랙,12M,9000,1,9000,N
st모먼트티,블랙,S,9000,1,9000,Y
st모먼트티,블랙,L,9000,1,9000,Y
st아가타팬츠,그린,M,10000,1,10000,N
st아가타팬츠,그린,L,10000,1,10000,N
st투톤티,네이비,XS,8000,1,8000,Y
st투톤티,네이비,M,8000,1,8000,Y
골덴5부반바지,노랑,M,9000,1,9000,N
골덴5부반바지,브라운,M,18000,1,18000,N
골덴5부반바지,핑크,M,18000,1,18000,N
골덴5부반바지,핑크,S,9000,1,9000,N
골덴5부반바지,핑크,XL,18000,1,18000,N
골덴멜빵팬츠,브라운,XS,18000,1,18000,Y
골덴멜빵팬츠,크림,M,18000,2,36000,Y
골덴멜빵팬츠,핑크,M,18000,1,18000,N
골지레깅스,메란지,M,7000,1,7000,N
골지레깅스,크림,M,7000,1,7000,N
골지레깅스,핑크,XS,7000,1,7000,N
나그랑가이티,블랙,M,9000,1,9000,N
나그랑가이티,연루,M,9000,1,9000,N
그랑빵줄MTM,블루,M,14000,1,14000,N
그랑빵줄MTM,크림,S,14000,1,14000,N
명장카라,,1,16000,1,16000,Y
생깡카라티,크림,S,16000,2,32000,N
탑빠티레깅스셋,,1,16000,1,16000,Y
렙빠티레깅스셋,림,12M,16000,2,32000,N
몬터레이MTM,레드,M,12000,1,12000,Y
바스켓베어맨투맨,메란지,M,13000,2,26000,Y
바이오체커팬츠,카키,XL,11000,1,11000,Y
반반보니토후드집업,블랙,XL,21000,1,21000,N
아노락후드,네이비,XL,20000,1,20000,Y
어댄스MTM,브라운,M,12000,1,12000,N
어텀치노팬츠,블랙,L,10000,1,10000,N
에브리맨투맨,크림,M,12000,1,12000,N
오리지날절개,,1,13000,1,13000,Y
올림피아후드티,블랙,M,20000,1,20000,Y
유메이크상하셋트,,1,22000,1,22000,Y
일자카고팬츠,차콜,M,15000,1,15000,Y
잇츠올굿티,아이보리,M,8000,1,8000,N
자수배색반집업,블랙,XS,15000,1,15000,N
캠핑맨투맨,크림,M,13000,1,13000,N
텐테잎맨투맨,블랙,XS,13000,1,13000,Y
투포켓데님팬츠,청,M,17000,2,34000,Y
퍼티트맨투맨,메란지,XS,13000,1,13000,Y
화섬포켓맨투맨,메란지,M,14000,2,28000,N
화섬포켓맨투맨,오트밀,S,14000,1,14000,N
프로덕트맨투맨,네이비,S,13000,1,13000,N
