품명,색상,사이즈,단가,수량,금액,미송여부
고디바PT,검정,M,16000,1,16000,Y
말랑T,차콜,S,12000,1,12000,Y
말랑T,차콜,L,12000,1,12000,Y
말랑T,크림,M,12000,1,12000,Y
무스오버롤,크림,XS,27000,1,27000,N
별자수MTM,곤색,L,18000,1,18000,Y
세인트ST.T,메란,M,13000,1,13000,Y
세인트ST.T,메란,L,13000,1,13000,Y
세인트ST.T,메란,XL,13000,1,13000,Y
숲조기PT,밤색,M,16000,1,16000,Y
숲PT,그린,XL,12000,1,12000,Y
어쌤조거PT,소라,L,18000,1,18000,Y
에이미치마PT,빨강,S,20000,1,20000,Y
와플꽃GD,곤색,L,19000,1,19000,N
초코나무MTM,그린,XL,18000,1,18000,Y
초코나무MTM,그린,XS,18000,1,18000,N
타이거JP,빨강,L,37000,1,37000,Y
히어로PT,그린,L,18000,1,18000,Y
히어로PT,메란,M,18000,1,18000,Y
