품명,색상,사이즈,단가,수량,금액,미송여부
10수코튼열빵,블루,,23000,1,23000,Y
st니트조끼,메란,,15000,2,30000,Y
st니트조끼,블랙,L,15000,1,15000,Y
24가을/st두줄랑빠,,13,2000,1,39000,Y
티,먹색,XL,13000,1,13000,Y
티,크림,12M,13000,1,13000,Y
티,크림,XS,13000,1,13000,N
티,크림,L,13000,1,13000,N
st모먼트티,블랙,12M,9000,1,9000,N
st모먼트티,블랙,S/R,9000,1,9000,Y
st모먼트티,블랙,L,9000,1,9000,Y
st모먼트티,블랙,XL,9000,1,9000,N
st아가타팬츠,그린,M,10000,1,10000,N
st아가타팬츠,그린,L,10000,1,10000,N
st투톤티,네이비,XS,8000,1,8000,Y
st투톤티,네이비,M,8000,1,8000,Y
st투톤티,아이보리,M,8000,1,8000,N
골덴5부반바지,노랑,M,9000,1,9000,N
골덴5부반바지,노랑,S,9000,1,9000,N
골덴5부반바지,브라운,M,18000,1,18000,Y
골덴5부반바지,브라운,S,18000,1,18000,Y
골덴5부반바지,핑크,M,18000,1,18000,N
골덴5부반바지,핑크,S,18000,1,18000,N
24가을/골덴멜빵팬츠,브라운,L,18000,1,18000,N
24가을/골덴멜빵팬츠,브라운,XS,18000,1,18000,Y
24가을/골덴멜빵팬츠,크림,M,18000,1,18000,Y
24가을/골덴멜빵팬츠,핑크,M,18000,1,18000,Y
24가을/골지레깅스,메란,,7000,1,7000,N
24가을/골지레깅스,모카,,7000,1,7000,N
24가을/골지레깅스,크림,M,7000,1,7000,N
24가을/골지레깅스,크림,12M,7000,1,7000,Y
24가을/골지레깅스,핑크,S,7000,1,7000,N
24가을/나그랑가이티,블랙,XS,9000,1,9000,Y
24가을/나그랑가이티,연루,M,9000,1,9000,N
24가을/명장카라TEE,,16000,1,16000,Y
24가을/탑빠티레깅스셋,,16000,1,16000,Y
몬터레이MTM,레드,L,12000,1,12000,Y
바스켓베어맨투맨,백메란지,M,13000,1,13000,Y
바이오체커팬츠,카키,XL,11000,1,11000,Y
반반보니토후드집업,오트밀,XS,21000,1,21000,Y
벨로아집업셋,딥블루,XS,25000,1,25000,Y
미송)24가을/보니토데님자켓,중청,L,29000,1,29000,Y
24가을/보니토데님자켓,중청,L,29000,1,29000,N
보니토펠트맨투맨,블랙,S,13000,1,13000,Y
보니토호일맨투맨,블랙,S,13000,1,13000,Y
뽀빠이맨투맨,딥블루,XS,12000,1,12000,N
웨단노맨투맨,네이비,L,12000,1,12000,N
쉐난도맨투맨,네이비,S,12000,1,12000,Y
24가을/스탠다드맨투맨,그린,L,13000,1,13000,Y
텐테잎맨투맨,블랙,XS,13000,1,13000,N
투포켓데님팬츠,진청,M,17000,1,17000,Y
잇츠올굿티,아이보리,M,8000,1,8000,N
24가을/자수배색반집업,메란지,XS,15000,1,15000,N
캠핑맨투맨,오트밀,M,13000,1,13000,N
클러버스MTM,연라,S,14000,1,14000,Y
화섬포켓맨투맨,오트밀,S,14000,1,14000,N
