```plaintext
품명,색상,사이즈,단가,수량,금액,미송여부
전신슈트러브즈와플,메란지,BM,18000,1,18000,Y
전신슈트러브즈와플,옐로우,BM,18000,2,36000,Y
전신슈트올웨이즈,네이비,BM,15000,1,15000,Y
bebe츄잉오피1+1,블랙set,BS,14000,1,14000,N
굿바이브T,아이보리,L,7000,1,7000,N
다람쥐골지실내복,크림,XS,13000,1,13000,N
달달한 모달실내복,민트,L,14000,1,14000,N
달달한 모달실내복,크림,L,14000,1,14000,N
달달한유아내복,민트,one,16000,1,16000,N
달달한유아내복,크림,one,16000,1,16000,N
데이지꽃곰상하,라이트엘로우,XL,15000,1,15000,N
러브멜빵OPS,내추럴,S,22000,1,22000,N
러브미모어JP,연베이지,S,32000,1,32000,N
슈트러브델뱅슈트,내추럴,BM,22000,1,22000,N
러브미모어맨투맨,크림,L,15000,1,15000,N
러브미모어맨투맨,메란지,M,15000,1,15000,N
러브즈맨투맨,핑크,S,11000,1,11000,N
러브즈와플맨투맨,메란지,M,14000,1,14000,N
러브즈와플맨투맨,옐로우,S,14000,1,14000,N
슈트러브캣,크림,BS,15000,1,15000,N
러브캣실내복,크림,XS,12000,1,12000,N
러브캣실내복,크림,XL,12000,1,12000,N
러브캣잠옷,블루,L,28000,1,28000,N
럽주름바지,스트라이프,XL,17000,1,17000,N
미드나잇맨투맨,크림,L,13000,1,13000,N
미드나잇맨투맨,백메란지,XS,13000,1,13000,N
미드나잇맨투맨,백메란지,S,13000,1,13000,N
바스락팬츠,블랙,L,16000,1,16000,N
바스락팬츠,핑크,S,16000,1,16000,N
박쥐맨투맨,블랙,XS,16000,1,16000,N
베어데님배기PT,중청,S,20000,1,20000,N
브런치곰T,크림,S,9000,1,9000,Y
슈트삐삐3종set,그린,BM,20000,1,20000,N
슈트삐삐3종set,레드,BS,20000,2,40000,N
슈트뼈뼈3종set,레드,BM,20000,1,20000,N
슈트삐삐3종set,옐로우,BM,20000,1,20000,N
아일렛니트3종,민트,S,26000,2,52000,N
아일렛니트3종,크림,S,26000,1,26000,N
악마망토,블랙,S,14000,1,14000,Y
악마망토,블랙,L,14000,1,14000,Y
슈트아플리케,크림,BM,18000,1,18000,Y
삐삐실내복set,그린,XL,13000,2,26000,N
삐삐실내복set,레드,XL,13000,3,39000,N
삐삐실내복set,블루,L,13000,1,13000,N
삐삐실내복set,블루,XL,13000,1,13000,N
삐삐실내복set,옐로우,M,13000,1,13000,N
삐삐실내복set,옐로우,XL,13000,1,13000,N
슈트알록달록set,핑크,BM,16000,1,16000,Y
알록달록실내복,그린,XL,14000,1,14000,N
알록달록실내복,옐로우,XL,14000,1,14000,N
어텀모달실내복,크림,XL,12000,1,12000,N
어텀모달실내복,블루,L,12000,1,12000,Y
어텀모달실내복,베이지,L,12000,1,12000,Y
어텀모달실내복,옐로우,XS,12000,1,12000,Y
오가닉 나비잠싸개,매쉬,S,18000,1,18000,N
올웨이즈mtm,백메란지,L,10000,1,10000,N
웹컷팅날나리T,오트밀,S,8000,1,8000,N
유령실내복,블랙,M,11000,2,22000,N
유어드림mtm,네이비,L,11000,1,11000,N
유어드림mtm,백메란지,S,11000,1,11000,N
츄잉오버롤KIDS,레드,M,15000,1,15000,Y
츄잉오버롤KIDS,그레이,XL,15000,1,15000,N
츄잉오버롤KIDS,레드,XL,15000,7,105000,N
츄잉오버롤KIDS,브릭,XL,15000,7,105000,N
캣츠블라우스,아이,S,21000,1,21000,Y
코듀로이버뮤다PT,브릭,S,15000,2,30000,Y
코듀로이버뮤다PT,크림,S,15000,1,15000,Y
코듀로이버뮤다PT,핑크,S,15000,4,60000,N
코듀로이버뮤다PT,핑크,M,15000,1,15000,N
클래식와이드PT,연베이지,S,15000,1,15000,N
츄잉오띠1+1 T,블랙set,XS,14000,1,14000,N
전신슈트탐정베어,머스타드,BM,15000,1,15000,N
전신슈트탐정베어,그린,BM,15000,1,15000,Y
트윙클스커트,블랙,S,16000,1,16000,N
펌킨상하복,크림,S,17000,1,17000,N
펌킨상하복,오렌지,S,17000,1,17000,Y
플라워와플아노락set,크림,S,25000,1,25000,N
피그먼트컬러PT,브라운,S,20000,1,20000,N
피그먼트컬러PT,브라운,L,20000,1,20000,N
피그먼트컬러PT,핑크,XS,20000,1,20000,N
```
