품명,색상,사이즈,단가,수량,금액,미송여부
ABC삭스,,L,10000,1,10000,N
ABC삭스,,M,10000,1,10000,N
골비니2,베이지,FREE,5000,1,5000,N
골비니2,검정,FREE,5000,1,5000,N
네츄럴 삭스,,M,8000,1,8000,N
도토리비니,크림,FREE,7000,1,7000,N
러버캡,베이지,FREE,12000,1,12000,N
러브삭스,ONE,L,6000,1,6000,N
러브삭스,ONE,S,6000,1,6000,N
모어러브삭스,,L,6000,1,6000,N
모어러브삭스,,S,6000,1,6000,N
밤토리보넷,오트밀,FREE,9000,1,9000,N
배색캡,크림,FREE,12000,1,12000,N
버터삭스,ONE,L,6000,1,6000,Y
버터삭스,ONE,M,6000,1,6000,N
버터삭스,ONE,S,6000,4,24000,N
비비드 삭스,,M,8000,1,8000,N
숏비니,크림,,6000,1,6000,N
숏비니,진네이비,,6000,1,6000,N
타르트머플러,밤색,FREE,13000,2,26000,N
타르트머플러,크림,FREE,13000,1,13000,N
탐탐삭스,ONE,L,8000,2,16000,N
탐탐삭스,ONE,M,8000,1,8000,N
탐탐삭스,ONE,S,8000,1,8000,N
투게더삭스,블랙,L,7000,1,7000,N
투게더삭스,블랙,M,7000,4,28000,N
투게더삭스,블랙,S,7000,1,7000,N
투게더삭스,블랙,XL,7000,1,7000,Y
투게더삭스,크림,M,7000,3,21000,N
투게더삭스,크림,S,7000,1,7000,N
퓨처삭스,,L,6000,1,6000,N
퓨처삭스,,M,6000,2,12000,N
퓨처삭스,,S,6000,1,6000,N
퓨처삭스,,XL,6000,3,18000,N
후드머플러,네이비,FREE,16000,1,16000,N
후드머플러,버터,FREE,16000,1,16000,N
후드머플러,차콜,FREE,16000,1,16000,N
숏비니,빨강,,6000,1,6000,N
윌리삭스,ONE,M,6000,3,18000,N
윌리삭스,ONE,S,6000,1,6000,N
체커보드삭스,one,M,6000,2,12000,N
체커보드삭스,one,S,6000,3,18000,N
앤더스패딩,아이보리,L,49000,1,49000,N
앤더스패딩,아이보리,M,49000,1,49000,N
앤더스패딩,아이보리,S,49000,1,49000,N
앤더스패딩,아이보리,XL,49000,1,49000,N
앤더스패딩,베이지,L,49000,3,147000,N
