품명,색상,사이즈,단가,수량,금액,미송여부
24f.b가위루빠,진메란,BM,11000,1,11000,N
24f.b고르뎅멜빵,크림,BS,20000,1,20000,N
24f.b꼭지보넷,블루,FREE,7000,2,14000,N
24f.b누빔 점퍼,메란지,BM,19000,2,38000,N
24f.b버튼조끼,크림,BM,10000,1,10000,N
24f.b베이직 T,차콜,BS,7000,1,7000,N
24f.b세인트슈트,핑크,BM,15000,1,15000,N
24f.b스판레깅스,크림,BM,7000,1,7000,N
24f.b투마로우 M,크림,BM,11000,1,11000,N
24f.CD볼캡,진청,FREE,12000,1,12000,N
24f.나그랑후리스자켓,메란지,JM,21000,1,21000,N
24f.둥근베기데님,중청,JM,19000,1,19000,N
24f.b가위루빠,진메란,BM,11000,1,11000,N
24f.쉬머 P,베이지,XL,10000,1,10000,N
24f.쉬머 P,블랙,L,10000,1,10000,N
24f.스팟청바지,흑청,S,18000,1,18000,N
24f.워크자켓,블랙,M,31000,1,31000,N
24f.클럽나그랑,먹색,M,11000,1,11000,N
24f.페이보릿 M,오트밀,L,14000,1,14000,N
24f.헤이 T,민트,XS,10000,1,10000,N
