품명,색상,사이즈,단가,수량,금액,미송여부
기획)2+1베이스,블랙,L,15000,3,45000,Y
기획)2+1베이스,블랙,S,15000,5,75000,Y
기획)2+1베이스,블랙,XS,15000,10,150000,Y
기획)2+1베이스,블랙,XL,15000,2,30000,Y
기획)2+1베이스,블랙,12M,15000,1,15000,Y
기획)2+1베이스,블랙,M,15000,2,30000,Y
기획)2+1베이스,레드,12M,15000,1,15000,Y
기획)2+1베이스,레드,M,15000,1,15000,Y
기획)2+1베이스,레드,S,15000,5,75000,Y
기획)2+1베이스,레드,XS,15000,4,60000,Y
기획)데님 팬츠,논페이드생지,XS,13000,2,26000,Y
기획)데님 팬츠,중청,12M,13000,1,13000,Y
기획)데님 팬츠,중청,L,13000,6,78000,Y
기획)데님 팬츠,중청,M,13000,2,26000,Y
기획)데님 팬츠,중청,S,13000,4,52000,Y
기획)데님 팬츠,중청,XL,13000,2,26000,Y
기획)데님 팬츠,중청,XS,13000,4,52000,Y
기획)데님 팬츠,흑청,L,13000,5,65000,Y
기획)데님 팬츠,흑청,M,13000,3,39000,Y
기획)데님 팬츠,흑청,S,13000,4,52000,Y
기획)데님 팬츠,흑청,XL,13000,1,13000,Y
기획)어텀조거팬츠,그린,L,9000,1,9000,N
기획)어텀조거팬츠,네이비,L,9000,3,27000,Y
기획)어텀조거팬츠,네이비,S,9000,2,18000,N
기획)어텀조거팬츠,네이비,XL,9000,1,9000,Y
기획)어텀조거팬츠,메란지,M,9000,1,9000,Y
기획)어텀조거팬츠,메란지,S,9000,3,27000,Y
기획)어텀조거팬츠,메란지,XS,9000,2,18000,N
기획)어텀조거팬츠,백메란지,L,9000,3,27000,Y
기획)어텀조거팬츠,백메란지,M,9000,3,27000,Y
기획)어텀조거팬츠,백메란지,S,9000,3,27000,Y
기획)어텀조거팬츠,백메란지,XL,9000,1,9000,Y
기획)어텀조거팬츠,백메란지,XS,9000,1,9000,Y
기획)어텀조거팬츠,와인,M,9000,2,18000,N
기획)어텀조거팬츠,와인,S,9000,1,9000,N
기획)어텀조거팬츠,와인,XL,9000,1,9000,N
기획)어텀조거팬츠,핑크,XL,9000,1,9000,Y
기획)데님 팬츠,논페이드생지,L,13000,1,13000,Y
기획)데님 팬츠,중청,L,13000,1,13000,Y
기획)데님 팬츠,중청,M,13000,1,13000,Y
뉴니트숏비니,모카,FREE,7000,2,14000,Y
뉴니트숏비니,베이지,FREE,7000,1,7000,N
스탠다드캡모자,블랙,FREE,11000,1,11000,Y
