제품명,색상,사이즈,단가,수량,금액,미송여부
24 (629)기획청바지,블럭,M,12000,1,12000,N
24 (629)기획청바지,면청,S,12000,2,24000,N
24 (629)기획청바지,진청,S,12000,1,12000,N
24 (629)기획청바지,진청,L,12000,1,12000,N
24노멀티,크림,M,6000,1,6000,N
24노블팬츠,블럭,S,7000,1,7000,Y
24노블팬츠,블럭,M,7000,1,7000,Y
24노블팬츠,블럭,XL,7000,1,7000,Y
24노블팬츠,블랙,L,7000,1,7000,N
24노블팬츠,블럭,M,7000,2,14000,Y
24노블팬츠,메란지,M,7000,1,7000,Y
24노블팬츠,메란지,S,7000,2,14000,Y
24노블팬츠,메란지,XL,7000,1,7000,Y
24노블팬츠,메란지,S,7000,1,7000,Y
24노블팬츠,블럭,M,7000,1,7000,Y
24노블팬츠,블랙,L,7000,1,7000,N
24노블팬츠,메란지,L,7000,1,7000,Y
24노블팬츠,메란지,M,7000,1,7000,Y
24라벨팬츠,블랙,L,7000,2,14000,N
24라벨팬츠,블럭,M,7000,1,7000,N
24라벨팬츠,노랑,L,7000,1,7000,N
24라벨팬츠,노랑,M,7000,1,7000,N
24라벨팬츠,메란지,M,7000,2,14000,N
24라벨팬츠,블루,S,7000,2,14000,N
24라벨팬츠,크림,S,7000,1,7000,Y
24라벨팬츠,크림,M,7000,1,7000,Y
24라벨팬츠,핑크,L,7000,1,7000,N
24라이프후드티,백메란지,M,12000,1,12000,Y
24라이프후드티,레드,M,12000,1,12000,N
24라이프후드티,레드,XL,12000,1,12000,N
24라이프후드티,초록,S,12000,1,12000,N
24마일베베세트,크림,S,14000,1,14000,N
24마일베베세트,크림,M,14000,1,14000,Y
24모건팬츠,민트,M,11000,1,11000,N
24모건팬츠,민트,L,11000,1,11000,N
24모건팬츠,겨자,L,11000,1,11000,N
24모건팬츠,베이지,S,11000,1,11000,Y
24모건팬츠,베이지,L,11000,1,11000,N
24모건팬츠,차콜,S,11000,1,11000,Y
24모건팬츠,차콜,L,11000,1,11000,N
24스윗티,메란지,L,7000,1,7000,N
24스윗티,크림,S,7000,1,7000,N
24시리얼티,백메란지,S,7000,1,7000,N
24시리얼티,백메란지,L,7000,1,7000,N
24시리얼티,크림,M,7000,2,14000,N
24이반열빵세트,모카베이지,M,14000,1,14000,N
24어반멜빵세트,크림,S,14000,1,14000,N
24(647)엠버청남방,청,XL,21000,1,21000,N
24오버팬츠,블럭,M,9000,3,27000,Y
24오버팬츠,블럭,XL,9000,1,9000,N
24오버팬츠,메란지,M,9000,2,18000,Y
24오버팬츠,메란지,XL,9000,1,9000,N
24오버팬츠,진밤,XL,9000,2,18000,N
24오트베베세트,베이지,M,14000,1,14000,Y
24오트베베세트,다크브라운,S,14000,1,14000,Y
24유머티,곤색,S,7000,1,7000,N
24유어티,곤색,L,7000,1,7000,N
24유어티,크림,XL,7000,1,7000,Y
24(651)인디 고베베팬츠,진청,S,11000,1,11000,N
24카멜랍바티,아이,M,7000,1,7000,N
24카엘베베티,모카베이지,M,7000,1,7000,Y
24카멜베베티,아이,M,7000,1,7000,Y
24카툰티,보라,L,7000,1,7000,N
24카툰티,아이,M,7000,1,7000,N
24컨트리맨투맨,밤색,L,10000,1,10000,N
24컨트리맨투맨,오트,M,10000,2,20000,Y
24컨트리맨투맨,오트,L,10000,1,10000,N
24컨트리맨투맨,오트,S,10000,1,10000,Y
24(650)켈리멜빵세트,청,M,21000,1,21000,N
24(652)쿠키멜빵세트,청,S,18000,1,18000,N
24퍼피후드티,노랑,S,12000,1,12000,N
24퍼피후드티,노랑,M,12000,1,12000,N
24퍼피후드티,노랑,L,12000,1,12000,N
24퍼피후드티,노랑,XL,12000,1,12000,N
24퍼피후드티,밤색,XL,12000,1,12000,N
24포터맨투맨,블럭,M,10000,1,10000,N
24포터맨투맨,블럭,L,10000,1,10000,N
24프랜드맨투맨,레드,L,10000,1,10000,N
24프랜드맨투맨,레드,XL,10000,1,10000,N
24프랜드맨투맨,아이,M,10000,1,10000,N
24피터팬츠,베이지,M,9000,2,18000,Y
24피터팬츠,베이지,L,9000,1,9000,Y
24피터팬츠,레드,S,9000,1,9000,Y
24(645)판탁베베청바지,청,S,11000,1,11000,N
24하트세트,블랙,S,16000,4,64000,N
24헬로우맨투맨,진곤,M,10000,1,10000,N
