제품명,색상,사이즈,단가,수량,금액,미송여부
레이스 하트 스판티,아이보리,L,11000,1,11000,N
레이스 하트 스판티,연핑크,L,11000,1,11000,N
케잌 토끼 샤 롱맨투맨,블랙,L,16000,1,16000,N
하트 냐옹이 퍼프맨투맨,핑크,L,13000,1,13000,N
하트 레이스팬츠,크림,L,15000,1,15000,N
골지 하트 퍼프티,블랙,L,11000,1,11000,N
끈 레이어드 맨투맨,블랙,S,15000,1,15000,N
끈 레이어드 맨투맨,블랙,XL,15000,1,15000,N
다람쥐 스트라이프티,와인,XL,11000,1,11000,N
라글란 캣 맨투맨,핑크,L,12000,1,12000,N
라글란 케익티,블랙,XL,11000,1,11000,N
레이스 데님 주름스커트,진블루,XL,21000,1,21000,N
레이스 카라원피스,블랙,M,23000,1,23000,N
레이스 하트 스판티,블랙,XL,11000,1,11000,N
하트 골지티,핑크,M,10000,1,10000,N
부들리본 폴라티,베이지,XL,9000,1,9000,N
부들리본 폴라티,블랙,XL,9000,1,9000,N
쁘띠 리본 부츠컷팬츠,블랙,S,12000,1,12000,N
파티쉐 래빗상하,연베이지,XL,22000,1,22000,N
하트 레이스팬츠,핑크,L,15000,1,15000,N
