제품명,색상,사이즈,단가,수량,금액,미송여부
데일리버튼오버롤,차콜,M,21000,1,21000,N
데일리버튼오버롤,크림,L,21000,1,21000,N
로리청보넷,블럭,FREE,11000,1,11000,N
로리청보넷,크림,FREE,11000,2,22000,N
마리ST,레드,XL,11000,1,11000,N
마리ST,크림,XL,11000,2,22000,N
베티버절개맨투맨,차콜,S,13000,1,13000,N
베티버절개맨투맨,차콜,M,13000,1,13000,N
빅버튼수트,아이,S,25000,1,25000,N
마토캥거루맨투맨,오트밀,S,15000,1,15000,N
아토코튼병거지,치콜,FREE,12000,1,12000,N
엔젤골지레깅스,모카,S,9000,1,9000,N
엔젤골지레깅스,핑크,S,9000,1,9000,N
카라러플T,모카,M,14000,1,14000,N
크로플팬츠,핑크,S,14000,1,14000,N
크로플팬츠,핑크,M,14000,1,14000,N
하비골덴팬츠,와인,L,18000,1,18000,N
