제품명,색상,사이즈,단가,수량,금액,미송여부
패치 78 mtm,블루,11,20000,1,20000,Y
st 레이어드 t,차콜,11,18000,1,18000,N
st 레이어드 t,차콜,13,21000,1,21000,N
ST 캣 비니,블랙,FREE,11000,1,11000,Y
ST 캣 비니,차콜,FREE,11000,1,11000,Y
고양이 t,크림,15,20000,1,20000,N
데님 버뮤다 팬츠,논페이드 진청,09,25000,1,25000,Y
런웨이 안경,블랙,FREE,14000,1,14000,Y
레더 캉캉 sk,실버,17,27000,1,27000,Y
로즈 비니,블랙,FREE,13000,1,13000,N
리본 블루종,베이지,03,43000,1,43000,N
미우 롱부츠,블랙,210,29000,1,29000,Y
미우 롱부츠,블랙,220,29000,1,29000,Y
박시 st 카라 T,네이비,07,22000,1,22000,Y
셀린 후디 재킷,다크그린,09,48000,1,48000,N
어글리 슈즈,크림아이,210,32000,1,32000,Y
카모 버뮤다 팬츠,카모,09,27000,1,27000,N
팀버 워커,카멜,220,24000,1,24000,Y
plain_overknee socks,3colors,L,13000,1,13000,Y
