제품명,단가,수량,금액,미송여부
b-꽃밭mtm/네이비/3,12000,1,12000,N
b-놀이방수트/레드/2,16000,2,32000,Y
b-사랑그잡채pt/베이지/2,14000,1,14000,Y
b-스물곰수트/크림/3,27000,1,27000,N
b-쫀쫀레깅스/메란지/3,10000,1,10000,N
b-쫀쫀레깅스/아이/3,10000,1,10000,N
b-타올바지/레드/3,14000,2,28000,N
고도리네베스트/나염고도리/M,24000,1,24000,Y
고유맨t/메란지/L,9000,1,9000,Y
고유맨t/메란지/M,9000,1,9000,Y
고유폴라/민트/XS,10000,1,10000,Y
고유폴라/블랙/JS,13000,1,13000,Y
고유폴라/아이/JS,13000,1,13000,Y
골져스두건/크림/ONE,8000,1,8000,Y
그랑프리t/브라운/M,13000,1,13000,Y
꽃밭mtm/네이비/L,17000,1,17000,Y
꽃밭mtm/네이비/XS,17000,1,17000,Y
놀이방t/레드/XL,9000,1,9000,Y
놀이방t/레드/S,9000,1,9000,Y
놀이방t/진밤/L,9000,1,9000,Y
뒤집어mtm/메란지/JS,25000,1,25000,N
뜨거워머/메란지/2,5000,1,5000,N
레고비니~/네이비/1,8000,1,8000,N
명품t/레드/JL,14000,1,14000,Y
명품t/레드/JS,14000,2,28000,Y
명품t/블루/JL,14000,1,14000,Y
명품t/블루/S,11000,1,11000,Y
명품t/블루/XL,11000,1,11000,Y
명품t/아이/XL,11000,1,11000,Y
반달pt/블랙/XL,19000,1,19000,Y
부추pt/브라운/S,20000,1,20000,Y
부추pt/브라운/XS,20000,1,20000,Y
빈티지jp/레드/L,32000,1,32000,Y
빈티지jp/레드/XL,32000,1,32000,Y
쁘띠그잡채sk/화이트/1,10000,1,10000,N
스몰도리pt/메란지/XL,20000,1,20000,N
신세계pt/블루/L,13000,1,13000,Y
신세계pt/차콜/JL,16000,1,16000,Y
신세계pt/차콜/L,13000,1,13000,N
신세계pt/차콜/XS,13000,1,13000,Y
신세계pt-맘/크림/MOM,24000,1,24000,N
워크jk/네이비/XL,39000,1,39000,N
유치원pt/네이비/L,18000,2,36000,Y
쫀쫀레깅스/크림/L,11000,1,11000,N
쫀쫀레깅스/크림/S,11000,1,11000,Y
쫀쫀레깅스/메란지/XL,11000,1,11000,Y
카우도리jp/고도리목장/L,39000,1,39000,N
타올바지/레드/JS,19000,1,19000,Y
신세계pt/블루/M,13000,1,13000,Y
