제품명,단가,수량,금액,미송여부
10수코튼열빵 /블,23000,1,23000,Y
st니트조끼/메란,15000,1,15000,Y
st니트조끼/메란,15000,1,15000,Y
st니트조끼/블,15000,1,15000,N
st니트조끼/블랙/L,15000,1,15000,Y
24가을/st두줄랑빠,13000,2,26000,Y
24가을/st두줄랍빠,13000,1,13000,Y
24가을/st두줄랍빠 티/먹색/XL,13000,1,13000,N
24가을/st두줄랍빠 티/크림/12M,13000,1,13000,Y
24가을/st두줄랍빠 티/크림/XS,13000,2,26000,N
24가을/st두줄람빠 티/크림/L,13000,1,13000,N
st모먼트티/블랙/12M,9000,1,9000,N
st모먼트티/블,9000,1,9000,Y
st모먼트티/블랙/l,9000,1,9000,Y
st모먼트티/블 택/XL,9000,1,9000,N
st아가타팬츠/그린/M,10000,1,10000,N
st아가타팬츠/그린/L,10000,1,10000,N
st투톤티/네이 비/XS,8000,1,8000,Y
st투톤티/네이비/M,8000,1,8000,Y
st투톤티/아이/M,8000,1,8000,Y
골덴5부반바지/노,18000,1,18000,N
골덴5부반바지/브라운/M,18000,1,18000,N
골덴5부반바지/브라운/S,18000,1,18000,N
골덴5부반바지/핑크/M,18000,1,18000,N
24가을/골덴멜빵팬츠/브라운/L,18000,1,18000,N
24가을/골덴멜빵팬츠/브라운/XS,18000,2,36000,Y
24가을/골덴멜빵팬츠/크림/M,18000,3,54000,Y
24가을/골덴멜빵팬츠/핑크/M,18000,1,18000,Y
24가을/골지레깅스/메란지,7000,1,7000,N
24가을/골지레깅스/크림,7000,1,7000,N
24가을/골지레깅스/핑크/XS,7000,2,14000,N
24가을/나그랑가이티/블랙/M,9000,4,36000,Y
24가을/나그랑가이티/연루/M,9000,2,18000,N
그랑빵줄MTM,14000,1,14000,N
그랑빵줄MTM 크림/S,14000,1,14000,N
24가을/명장카라티/크림/M,16000,1,16000,Y
24가을/탑빠티레깅스셋,16000,1,16000,Y
몬터레이MTM/레드/L,12000,1,12000,Y
바스켓베어맨투맨(베어)/M,13000,2,26000,N
바이오체커팬츠/카키/XL,11000,1,11000,Y
반반보니토후드집업/블랙/XL,21000,1,21000,N
반반보니토후드집업/오트밀/L,21000,1,21000,Y
벨로아집업셋/딥블루/XS,25000,1,25000,Y
보니토데님자켓/중청/L,29000,1,29000,N
보니토펠트맨투맨/크림/S,13000,1,13000,N
보니토호일맨투맨/블랙/M,13000,1,13000,Y
쉐난도맨투맨/백메란지/M,12000,3,36000,Y
에브리맨투맨/크림/12M,12000,1,12000,Y
어번던스MTM/브라운/M,12000,2,24000,Y
어텀치노팬츠/보라/S,10000,1,10000,N
유메이크상하셋/루/12M,22000,1,22000,Y
일자카고팬츠/차콜/L,15000,2,30000,Y
투포켓데님팬츠/진청/M,17000,6,102000,Y
퍼티트맨투맨/메란지/XS,13000,1,13000,Y
화섬포켓맨투맨/메란지/M,14000,2,28000,N
