품명,단가,수량,금액,미송여부
공룡맨투맨/a. 블루(Blue)/L,10000,1,10000,Y
공룡맨투맨/b. 아이보리(Ivory)/XL,10000,1,10000,Y
공룡맨투맨/c. 브라운(Brown)/L,10000,1,10000,N
까멜리아티/a. 브라운(Brown)/L,8000,1,8000,N
까멜리아티/b. 아이보리(Ivory)/L,8000,1,8000,N
까멜리아레깅스/b.,8000,1,8000,Y
니트베레 P/d.S/FREE,8000,1,8000,N
니트카라티/c. 베이지(Beige)/M,22000,1,22000,N
니트베스트/b. 아이보리(Ivory)/S,18000,1,18000,N
니트베스트/c. 베이지/L,18000,1,18000,N
니트케이프티/b. 베이지/L,24000,1,24000,N
니트팬츠/b. 아이보리/S,18000,1,18000,N
둥근카라티/a. 검정/M,10000,1,10000,N
둥근카라티/c. 아이보리/L,10000,1,10000,N
둥근카라,10000,1,10000,N
리본핀/b. 베이지/FREE,2000,1,2000,N
리본바지/a. 핑크리본/L,10000,1,10000,N
릴리팬츠/a. 브라운/L,12000,1,12000,Y
마이맨투맨/b. 블루버드/XL,10000,1,10000,N
마이맨투맨/d. 그레이트어너지가,10000,1,10000,Y
마이맨투맨/e. 아이코끼리/M,10000,1,10000,N
마이맨투맨/f. 아이검정레빗/2XL,10000,1,10000,N
마이맨투맨/g. 핑크하트/2XL,10000,1,10000,N
마이맨투맨/h. 아이리본/L,10000,1,10000,N
마이팬츠/c. 아이검정레빗/2XL,10000,1,10000,N
마이팬츠/g.,10000,1,10000,N
무당벌레맨투맨/a. 블,10000,1,10000,N
무당벌레맨투맨/b.,10000,1,10000,Y
보들보들티/a. 아이보리/M,20000,1,20000,N
보들보들,10000,1,10000,N
보들보들티/d. 핑크(pink)/M,10000,1,10000,N 
보들보들티/d. 핑크(pink)/L,10000,1,10000,N
보들보들티/d. 핑크(pink)/2XL,10000,1,10000,N
봉봉바지/a. 딸기/M,8000,1,8000,N
봉봉바지/b. 꽃브라운/M,8000,1,8000,Y
봉봉바지/b. 꽃브라운/L,8000,2,16000,Y
봉봉바지/b. 꽃브라운/XL,8000,1,8000,N
봉봉바지/c. 나뭇잎브라운/L,8000,1,8000,N
봉봉바지/c. 나뭇잎브라운/XL,8000,1,8000,N
봉봉바지/d. 아이보리/L,8000,1,8000,N
봉봉바지/f. 블루체크/XL,8000,1,8000,N
봉봉BL/b. 꽃브라운/L,19000,1,19000,Y
봉봉BL/c. 아이보리/L,19000,1,19000,N
스무스레깅스/a. 검정/M,24000,1,24000,N
스무스레깅스/b. 브라운/M,8000,1,8000,N
스무스레깅스/c. 아이보리/S,8000,1,8000,Y
시그니처티/a. 핑크/아이/M,8000,1,8000,N
시그니처티/a. 핑크/아이/L,8000,1,8000,N
시그니처티/a. 핑크/아이/XL,8000,2,16000,N
시그니처티/b. 베이지/블루/M,8000,1,8000,Y
시그니처티/b. 베이지/블루/L,8000,3,24000,Y
시그니처티/c. 블랙/아이/M,8000,1,8000,Y
