제품명,단가,수량,금액,미송여부
링거티/빨강/JL,15000,1,15000,Y
멀티팬츠/초록/JL,22000,1,22000,Y
멀티팬츠/초록/S,19000,1,19000,Y
멀티팬츠/파랑/M,19000,1,19000,Y
모나코점퍼/검정/JS,46000,1,46000,Y
모나코점퍼/검정/M,42000,1,42000,N
바바비니/ST파/FREE,9000,1,9000,N
번개티/먹색/JS,15000,1,15000,Y
번개티/덕색/M,13000,1,13000,Y
베로나점퍼/빨강/JL,43000,1,43000,Y
베로니점퍼/올리브/JM,43000,1,43000,N
봉봉티/검정/M,11000,1,11000,Y
봉봉티/빨강/S,11000,1,11000,Y
봉봉티/빨강/XL,11000,1,11000,Y
봉봉티/회색/M,11000,1,11000,Y
유니폼티/곤색/JM,13000,1,13000,Y
클래식맨투맨/초록/JL,20000,1,20000,N
타운티/김정/JS,16000,1,16000,Y
타운티/검정/XL,14000,1,14000,Y
타운티/흰색/L,14000,1,14000,Y
토리노팬츠/체크/JL,22000,1,22000,Y
토리노팬츠/체크/M,19000,2,38000,N
프리하팬츠/검정/JS,25000,1,25000,Y
헤어팬츠/검정/JM,19000,1,19000,Y
