품명,단가,수량,금액,미송여부
데이맨투맨/아이/L,10000,1,10000,N
데이조거PT/아이/L,10000,1,10000,N
델리면PT/아이/L,14000,1,14000,N
랄라KC골지타이즈/아이/M,6000,1,6000,N
랄라KC골지타이즈/연베이지/XL,6000,1,6000,N
랄라KC골지타이즈/진베이지/M,6000,1,6000,N
사슴JK/베이지/L,24000,1,24000,N
세라프릴보넷/아이/FREE,8000,1,8000,N
오픈니트슈트/베이지/S,24000,1,24000,Y
오픈니트슈트/크림/S,24000,2,48000,Y
코디레깅스/모카/M,6000,1,6000,N
코디레깅스/블랙/L,6000,1,6000,N
코디레깅스/블랙/M,6000,1,6000,N
코디레깅스/블랙/S,6000,1,6000,N
코디레깅스/아이/S,6000,1,6000,N
코디레깅스/핑크/L,6000,1,6000,N
크레파스T/아이/S,7000,1,7000,N
트리오T/블랙/M,12000,1,12000,Y
트리오T/아이/M,12000,1,12000,Y
프리T/블랙/M,14000,2,28000,N
