제품명,단가,수량,금액,미송여부
논페이드캡/블랙/XS,12000,3,36000,N
러뷰삭스/XS,8000,1,8000,N
러뷰삭스/M,8000,2,16000,N
러뷰삭스/S,8000,1,8000,N
러뷰삭스/XS,8000,2,16000,N
레터링삭스/M,8000,1,8000,N
레터링삭스/S,8000,1,8000,N
레터링삭스/XS,8000,1,8000,N
바바삭스/M,9000,3,27000,N
바바삭스/S,9000,3,27000,N
바바삭스/XS,9000,2,18000,Y
밤톨이보넷/브라운/XS,7000,1,7000,N
밤톨이보넷/차콜/XS,7000,1,7000,N
밤톨이보넷/크림/XS,7000,1,7000,N
베어벨삭스/M,6000,3,18000,N
베어벨삭스/XS,6000,1,6000,N
베어삭스/M,6000,1,6000,N
베어삭스/S,6000,1,6000,N
비비드양말/M,6000,1,6000,N
비비드양말/S,6000,1,6000,N
솜사탕양말/S,6000,1,6000,N
와플보넷/그레이/XS,7000,1,7000,N
와플보넷/베이지/XS,7000,1,7000,N
와플보넷/브라운/XS,7000,1,7000,N
와플보넷/블랙/XS,7000,3,21000,N
와플보넷/블루/XS,7000,2,14000,N
와플보넷/크림/XS,7000,2,14000,N
체커보드 양말/XS,6000,3,18000,N
캬라멜양말/M,6000,2,12000,N
캬라멜양말/XS,6000,1,6000,N
퍼지삭스/M,6000,1,6000,N
피넛삭스/S,8000,1,8000,N
