품명,단가,수량,금액,미송여부
가을라그란_집업/카키/JS,40000,1,40000,Y
그런지밴딩_PT/블루/JM,23000,1,23000,Y
담백나그랑_T/연베이지/JM,15000,1,15000,Y
더블_체크셔츠/체크/JS,25000,1,25000,N
데일리자수_T/코코아/L,11000,1,11000,N
말랑조거_PT/진네이비/JM,18000,1,18000,N
모노잔줄_T/마이/JL,16000,1,16000,N
모카데일리_PT/진베이지/L,16000,1,16000,N
심플리_셔츠/아이보리/L,20000,1,20000,N
어팀카고_PT/베이지/S,22000,3,66000,N
어팀카고_PT/베이지/JM,25000,1,25000,Y
언더피그통_PT/카키/JS,23000,1,23000,N
와이드크롬_T/핑크/JM,18000,1,18000,Y
원투비행기_T/베이지/JL,14000,1,14000,N
친절한호랑이_T/메란지/JM,14000,1,14000,N
테리_반집업/메란지/JS,19000,1,19000,N
테리_반집업/퍼플/L,16000,1,16000,N
테리조거_PT/메란지/JM,17000,1,17000,N
테리조거_PT/퍼플/L,14000,1,14000,N
파라곤집업_베스트/카키/L,28000,1,28000,N
피스싱글_T/블랙/XL,13000,1,13000,N
하프넥_T/블랙/JS,15000,1,15000,N
