품명,단가,수량,금액,미송여부
10수코튼열빵 /블,23000,1,23000,Y
st니트조끼/메란,15000,1,15000,Y
st니트조끼/블,15000,1,15000,N
st니트조끼/블랙/L,15000,1,15000,Y
24가을/st두줄랑빠,13000,2,26000,Y
티/먹색/XL,13000,1,13000,N
티/크림/12M,13000,1,13000,Y
티/크림/L,13000,1,13000,Y
st모먼트티/블랙/12M,9000,1,9000,N
st모먼트티/블랙/S,9000,1,9000,Y
st아가타팬츠/그린/M,10000,1,10000,N
st아가타팬츠/그린/L,10000,1,10000,N
st투톤티/네이/XS,8000,1,8000,Y
골덴5부반바지/노랑/M,9000,2,18000,Y
덴5부반바지/브라운/S,9000,2,18000,N
24가을/골덴멜빵팬츠/브라운/L,18000,1,18000,N
24가을/골덴멜빵팬츠/크림/M,18000,1,18000,Y
24가을/골덴멜빵팬츠/핑크/M,18000,1,18000,Y
24가을/골지레깅스/메란,7000,1,7000,Y
24가을/골지레깅스/블랙,7000,1,7000,N
24가을/골지레깅스/핑크/S,7000,1,7000,Y
24가을/나그랑가이티/연루/M,9000,1,9000,N
24가을/나그랑가이티/블랙/XS,9000,1,9000,Y
그랑빵줄MTM 크림/S,14000,1,14000,N
나그랑삥줄MTM 쿠림/XS,14000,2,28000,Y
24가을/명장카라,16000,1,16000,Y
24가을/생깡카라티/크림,16000,2,32000,Y
24가을/탑빠티레깅셋,16000,1,16000,Y
몬터레이MTM/레드/L,12000,1,12000,Y
바스켓베어맨투맨/백메란지(베어)/M,13000,2,26000,Y
바스켓베어맨투맨/아이(바스켓)/M,13000,1,13000,Y
바이오체커팬츠/카키/XL,11000,1,11000,Y
반반보니토후드집업/블랙/XL,21000,1,21000,Y
벨로아집업셋 /딥블루/L,25000,1,25000,N
24가을/보니토데님자켓/중청/L,29000,1,29000,Y
보니토펠트맨투맨/블랙/S,13000,2,26000,Y
보니토호일맨투맨/블랙/M,13000,1,13000,N
쉐난도맨투맨/네이비/S,12000,1,12000,Y
에브리맨투맨/크림/12M,12000,1,12000,Y
올림피아후드티/블랙/M,20000,4,80000,Y
유메이크상하셋/연보라/12M,22000,2,44000,Y
일자카고팬츠/연베이지/L,15000,2,30000,Y
잇츠올굿티/아이/L,8000,1,8000,N
24가을/자수배색반집업/블랙/메란지/XS,15000,1,15000,Y
캠핑맨투맨/오트밀/12M,13000,1,13000,Y
퍼티트맨투맨/블루/L,13000,1,13000,N
화섬포켓맨투맨/오트밀/S,14000,1,14000,N
