제품명,단가,수량,금액,미송여부
달고나슈트/크림/1(12M),21000,1,21000,Y
디저트가디건/소라/1(12M),16000,1,16000,N
럭비공팬츠/메란지/L,14000,1,14000,Y
미국곰맨투맨/소라/JS,19000,1,19000,N
미국곰맨투맨/차클/JS,19000,1,19000,N
미국곰팬츠/차콜/JS,19000,1,19000,N
사바나가디건/그레이/L,20000,1,20000,Y
스터디팬츠/그린/M,17000,1,17000,N
엠앤엠티/그린/L,15000,1,15000,Y
필터팬츠/레드/L,16000,1,16000,Y
하우스팬츠/검정/JS,19000,1,19000,N
달고나슈트/검정/1(12M),21000,1,21000,Y
달고나슈트/크림/2(18M),21000,1,21000,Y
로얄맨투맨/메란지/XL,18000,1,18000,N
멀티바라클라바/블랙/1(12M),7000,1,7000,N
멀티바라클라바/마이/1(12M),7000,3,21000,N
모빌조끼/체크/2(18M),18000,1,18000,Y
미니머처멜빵/크림/2(18M),21000,1,21000,Y
베이스맨투맨/밤색/JM,19000,1,19000,N
보드팬츠/크림/1(12M),12000,2,24000,N
보드팬츠/크림/2(18M),12000,1,12000,N
엠앤엠티/그린/XL,15000,1,15000,Y
체리티/메란지/2(18M),10000,1,10000,Y
체리티/차콜/2(18M),10000,1,10000,N
팝티/단가라/2(18M),9000,1,9000,Y
페페로니팬츠/레드/1(12M),12000,1,12000,N
필터팬츠/레드/L,16000,1,16000,Y
