제품명,단가,수량,금액,미송여부
더블 라인 조거pt/백메란/M,16000,1,16000,N
더블 라인 조거pt/차콜/M,16000,1,16000,N
Jr 라이크 카라mtm/메란지/JL,19000,1,19000,Y
Jr 로 와이드 데님pt/진청/JL,21000,1,21000,Y
로 와이드 데님pt/진청/L,19000,1,19000,N
Jr 소피 부츠컷 데님pt/진청/JM,21000,1,21000,Y
Jr 소피 부츠컷 데님pt/흑청/JL,21000,1,21000,N
Jr 소피 부츠컷 데님pt/흑청/JM,21000,1,21000,Y
Jr 어바웃 데님Pt/중청/JL,19000,1,19000,Y
Jr 에버 다잉mtm/크림/JL,19000,1,19000,Y
Jr 에버 다잉mtm/크림/JS,19000,1,19000,N
Jr 트랙 데님pt/흑청/JL,24000,1,24000,Y
Jr 트랙 데님pt/흑청/JS,24000,1,24000,Y
페이드 체크셔츠/블루/S,18000,1,18000,Y
Jr 폴 데님셔츠/진청/JL,25000,1,25000,Y
Jr 폴 데님셔츠/진청/JS,25000,1,25000,N
