품명,단가,수량,금액,미송여부
KLA비니/스카이블루,6000,1,6000,N
KLA비니/아이보리,6000,1,6000,N
NYC배색 캡/블루,9000,1,9000,N
R 자수 캡/아이보리,6000,1,6000,Y
레트로 자수 4종세트/S,8000,1,8000,N
멜빵+보타이 세트/베이지,7000,1,7000,N
백 패치 헬멧비니/그린,4000,1,4000,Y
백 패치 헬멧비니/블랙,4000,1,4000,N
베어 앤 플라워 5종세트/S,5000,1,5000,N
베어 카드 케이스/잇웰,3000,1,3000,N
베이직 골지 스타킹/브라운/L,5000,1,5000,N
보이 페이스 3종세트/L,5000,1,5000,Y
보이 페이스 3종세트/XL,5000,1,5000,Y
블&화 크로쉐 보넷/블랙,6000,1,6000,N
블&화크로쉐 보넷/아이보리,6000,1,6000,N
사각 아가일 고리머플러/아이보리,5000,1,5000,N
셔링 리본 4종세트/M,8000,1,8000,N
스타일 골지 워머/그레이,3000,1,3000,Y
스타일 골지 워머/베이지,3000,1,3000,Y
스타일 골지 워머/브라운,3000,2,6000,N
스타일 골지 워머/블랙,3000,2,6000,Y
스타일 골지 워머/아이보리,3000,1,3000,Y
스타일 골지 워머/차콜,3000,1,3000,Y
스트릿 배색 캡/베이지,6000,1,6000,N
엠보 플라워 5종세트/M,6000,1,6000,N
엠보 플라워 5종세트/M,6000,4,24000,Y
엠보 플라워 5종세트/L,6000,4,24000,N
엠보 플라워 5종세트/L,6000,1,6000,Y
오버 니삭스 4종세트/L,7000,1,7000,Y
잇츠 고잉 4종세트/L,8000,1,8000,N
클래식 ST 머플러/블랙,5000,1,5000,N
투톤 워머 4종세트/FREE,7000,2,14000,N
[무꿈치] 프릴 라벨 삭스/블랙,3000,1,3000,Y
프릴 짜임 5종세트/S,5000,1,5000,N
핑크 ST 래빗 3종세트/L,4000,1,4000,N
할로윈 두건/호박,5000,1,5000,N
할로윈 사탕바구니/호박,2000,2,4000,Y
헬로 헬로 3종세트/L,5000,1,5000,N
