품명,색상,사이즈,단가,수량,금액,미송여부
23.ST시보리티,베이지,M,9000,1,9000,N
33.골덴팔부바지,베이지,S,15000,1,15000,Y
33.골덴팔부바지,차콜,XL,15000,1,15000,N
5.그라운드남방,아이보리,XL,18000,1,18000,N
20.덴깡카라맨투맨,검정,4XL,21000,1,21000,N
20.덴깡카라맨투맨,핑크,S,18000,1,18000,Y
20.덴깡카라맨투맨,핑크,M,18000,1,18000,Y
8.면카라니트,검정,L,22000,2,44000,N
15.버디단가라세트,레드,L,23000,1,23000,N
15.버디단가라세트,파랑,L,23000,1,23000,Y
25.보데티,네이비,S,10000,1,10000,N
25.보데티,아이,S,10000,1,10000,N
9.스쿨룩조끼,아이,XS,18000,1,18000,N
9.스쿨룩조끼,아이,4XL,21000,1,21000,N
14.어텀테이프세트,메란지,M,25000,1,25000,Y
14.어텀테이프세트,메란지,XL,25000,1,25000,Y
21.와플테입티,곤색,S,16000,1,16000,N
32.주름팔부바지,메란지,S,17000,1,17000,N
32.주름팔부바지,메란지,M,17000,1,17000,N
26.트렌디시보리티,와인,M,12000,1,12000,N
16.파리카라세트,백메란지,4XL,26000,1,26000,N
12.팔팔상하세트,네이비,XL,22000,1,22000,Y
12.팔팔상하세트,크림,2XL,25000,1,25000,N
12.팔팔상하세트,크림,L,22000,1,22000,N
12.팔팔상하세트,크림,S,22000,1,22000,Y
7.피셔맨니트,네이비,L,25000,1,25000,N
